file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\anvil_bench.exe,2,54,1,43.3147,6.78242,161.155,234.263,0
tests\corpus\anvil_bench.exe,1,8,80,19.2412,1.6924,22.0878,37.8348,0
tests\corpus\anvil_bench.exe,2,229,22,606.878,130.262,881.582,1108.9,0
tests\corpus\anvil_bench.exe,2,34,200,86.3997,16.5192,135.072,173.099,0
tests\corpus\anvil_bench.exe,2,577,80,942.42,222.313,1950.26,2589.24,0
tests\corpus\anvil_bench.exe,1,4,12,18.7661,1.3174,24.828,31.5247,0
tests\corpus\anvil_bench.exe,1,4,51,19.1261,1.5674,24.828,31.5247,0
tests\corpus\anvil_bench.exe,1,7,85,19.2567,1.6924,23.6261,36.1296,0
tests\corpus\anvil_bench.exe,1,12,1,18.28,3.0674,92.3149,126.633,0
tests\corpus\anvil_bench.exe,2,20,9,56.0728,7.27366,116.262,134.964,0
tests\corpus\anvil_bench.exe,2,16,26,32.2409,5.12449,86.9506,103.537,0
tests\corpus\anvil_bench.exe,2,12,9,34.8688,4.12449,62.4394,77.4831,0
tests\corpus\anvil_bench.exe,1,5,8,18.6706,2.1924,24.6037,33.3895,0
tests\corpus\anvil_bench.exe,2,11,88,30.0835,4.49949,53.7409,68.2959,0
tests\corpus\anvil_bench.exe,3,8,28,20.8744,2.14488,58.2492,64.4861,0
tests\corpus\anvil_bench.exe,1,6,119,19.3432,1.6924,28.2854,35.5981,0
tests\corpus\anvil_bench.exe,2,12,7,39.2042,4.37449,69.4131,77.3565,0
tests\corpus\anvil_bench.exe,1,4,26,18.9559,1.5674,22.8741,29.0764,0
tests\corpus\anvil_bench.exe,1,5,142,24.6388,1.95753,25.3838,33.7853,0
tests\corpus\anvil_bench.exe,2,8,391,32.5426,5.00254,41.3073,51.6457,0
tests\corpus\anvil_bench.exe,1,5,28,18.9744,1.4424,24.8574,32.5849,0
tests\corpus\anvil_bench.exe,1,4,15,18.82,1.4424,21.1084,27.888,0
tests\corpus\anvil_bench.exe,1,9,64,19.184,1.5674,41.6519,52.9627,0
tests\corpus\anvil_bench.exe,2,8,29,27.3908,3.73741,45.5906,54.0083,0
tests\corpus\anvil_bench.exe,1,8,86,19.2597,1.6924,39.8789,49.177,0
tests\corpus\anvil_bench.exe,2,9,21,28.5206,3.61241,53.937,65.7125,0
tests\corpus\anvil_bench.exe,2,15,376,43.728,6.01462,89.0686,105.958,0
tests\corpus\anvil_bench.exe,2,11,44,28.5246,3.73741,59.6887,72.335,0
tests\corpus\anvil_bench.exe,1,5,68,19.1995,1.6924,30.0438,37.12,0
tests\corpus\anvil_bench.exe,2,18,426,43.7564,5.63962,102.8,119.571,0
tests\corpus\anvil_bench.exe,1,4,87,19.2627,1.6924,22.3395,29.2163,0
tests\corpus\anvil_bench.exe,3,7,282,26.591,3.78501,43.0265,49.5717,0
tests\corpus\anvil_bench.exe,3,8,26,20.8559,2.26988,53.5408,63.1393,0
tests\corpus\anvil_bench.exe,1,4,81,19.2444,1.5674,21.8893,28.9842,0
tests\corpus\anvil_bench.exe,1,4,85,19.2567,1.5674,22.2141,28.44,0
tests\corpus\anvil_bench.exe,2,11,332,47.9405,7.6517,61.8781,69.8125,0
tests\corpus\anvil_bench.exe,1,4,108,19.3183,1.6924,22.3395,29.2163,0
tests\corpus\anvil_bench.exe,1,7,211,24.741,2.08253,36.1299,44.5369,0
tests\corpus\anvil_bench.exe,2,11,228,38.5308,5.13962,58.562,69.617,0
tests\corpus\anvil_bench.exe,1,5,286,24.8197,3.08253,34.7292,39.1662,0
