file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\generated.jsonl,1,5,1,18.28,3.05358,21.6753,25.8422,0
tests\corpus\generated.jsonl,1,5,44,19.0885,2.05358,23.5212,36.7651,0
tests\corpus\generated.jsonl,1,7,180,24.7,3.05834,26.8844,41.3541,0
tests\corpus\generated.jsonl,1,6,81,19.2444,3.05358,25.7268,43.8896,0
tests\corpus\generated.jsonl,2,10,214,34.7629,6.09673,41.3544,57.9923,0
tests\corpus\generated.jsonl,2,55,231,54.267,9.14229,261.022,291.763,0
tests\corpus\generated.jsonl,1,109,230,24.7633,3.05834,499.848,643.547,0
tests\corpus\generated.jsonl,2,115,232,107.882,12.237,562.575,647.164,0
tests\corpus\generated.jsonl,2,695,233,461.36,64.0345,3331.2,3944.08,0
tests\corpus\generated.jsonl,1,112,931,25.1256,4.05834,516.648,663.666,0
tests\corpus\generated.jsonl,2,461,930,268.602,31.6941,2201.75,2616.67,0
tests\corpus\generated.jsonl,2,229,1164,162.356,22.4003,1099.41,1322.15,0
tests\corpus\generated.jsonl,2,116,1165,117.224,16.2406,573.972,657.438,0
tests\corpus\generated.jsonl,1,113,1863,25.3056,3.05834,521.513,667.648,0
tests\corpus\generated.jsonl,2,116,1165,115.092,15.2441,563.668,652.016,0
tests\corpus\generated.jsonl,2,1047,934,598.07,71.4712,5014.03,5977.91,0
tests\corpus\generated.jsonl,2,229,1168,157.195,21.4003,1093.61,1323.42,0
tests\corpus\generated.jsonl,2,2048,935,1253.63,150.88,9847.11,11584,0
tests\corpus\generated.jsonl,2,2048,1870,1220.88,149.84,9867.44,11596.3,0
tests\corpus\generated.jsonl,2,2048,935,1222.8,145.84,9876.8,11620.6,0
tests\corpus\generated.jsonl,2,1096,3740,618.688,74.5516,5266.21,6229.78,0
tests\corpus\generated.jsonl,2,351,6310,294.253,39.5764,1708.63,2000.73,0
tests\corpus\generated.jsonl,2,814,3739,447.414,53.1559,3898.42,4646.23,0
tests\corpus\generated.jsonl,2,351,8647,312.616,39.5835,1715.2,1984.81,0
tests\corpus\generated.jsonl,2,814,9348,452.84,52.1523,3913.23,4642.48,0
tests\corpus\generated.jsonl,2,1164,8412,750.184,88.7,5590.26,6606.6,0
tests\corpus\generated.jsonl,2,229,5605,153.426,18.4003,1095.54,1320.35,0
tests\corpus\generated.jsonl,2,231,12151,155.276,19.4003,1103.6,1333.37,0
tests\corpus\generated.jsonl,2,230,14250,175.298,23.4075,1110.37,1330.31,0
tests\corpus\generated.jsonl,1,4,5271,25.5755,4.05834,28.0128,23.1478,0
tests\corpus\generated.jsonl,2,227,7478,135.148,15.3896,1078.13,1302.25,0
tests\corpus\generated.jsonl,2,117,14253,129.756,16.2477,579.4,652.999,0
tests\corpus\generated.jsonl,2,347,9349,177.053,22.5119,1646.26,1995.27,0
tests\corpus\generated.jsonl,2,232,14258,167.883,22.4039,1115.63,1330.3,0
tests\corpus\generated.jsonl,2,117,14259,122.488,15.2441,581.968,655.505,0
tests\corpus\generated.jsonl,2,348,938,190,20.5155,1657.11,2004.81,0
tests\corpus\generated.jsonl,2,231,14261,164.769,23.4075,1104.11,1318.54,0
tests\corpus\generated.jsonl,1,4,11120,25.7694,3.05834,27.0442,22.8912,0
tests\corpus\generated.jsonl,2,933,938,536.898,62.3381,4486.78,5300.66,0
tests\corpus\generated.jsonl,2,229,13097,153.09,17.3967,1101.31,1327.06,0
tests\corpus\generated.jsonl,2,117,14267,125.16,17.2477,576.322,662.045,0
tests\corpus\generated.jsonl,2,2048,939,1245.43,147.866,9849.32,11599.8,0
tests\corpus\generated.jsonl,2,2048,939,1182.13,141.815,9884.53,11619.4,0
tests\corpus\generated.jsonl,2,2048,4695,1211.46,143.84,9882.68,11564.6,0
tests\corpus\generated.jsonl,2,1012,939,579.022,68.422,4881.95,5747.94,0
tests\corpus\generated.jsonl,2,1173,2816,712.43,88.6713,5651.58,6673.58,0
tests\corpus\generated.jsonl,2,228,25283,147.987,18.3979,1086.88,1307.55,0
tests\corpus\generated.jsonl,2,117,14303,114.874,15.2441,578.699,660.409,0
tests\corpus\generated.jsonl,2,818,9388,431.987,50.1415,3932.89,4669.2,0
tests\corpus\generated.jsonl,2,230,19213,180.311,26.4158,1103.21,1320.09,0
