file,mode,pnra,raw_B,base_B,oracle_B,delta_pct,base_ratio,oracle_ratio,tokens,matches,considered,R1,R2pop,rej_t1,rej_t2,rej_t3,won0,won1,won2,cal_n,cal_median,cal_p90,cal_p99,flips,flip_rate,enc_base_ms,enc_orc_ms,enc_x,dec_base_ms,dec_orc_ms,dec_penalty_pct,rt_base,rt_orc,pnra_commits
tests\corpus\doc.md,11,off,2724,1588,1588,0.000000,0.582966,0.582966,223,124,124,0,0,0,0,0,1,0,0,124,-0.040428,0.594438,0.603646,0,0.000000,1.861900,2.563000,1.376551,0.022800,0.021000,-7.894737,1,1,0
tests\corpus\generated.json,11,off,827664,120566,120566,0.000000,0.145670,0.145670,5928,5102,5102,0,0,0,0,0,4,0,0,5102,-0.015540,0.077647,0.310786,0,0.000000,101.325900,137.012700,1.352198,4.757800,4.990800,4.897221,1,1,0
tests\corpus\generated.jsonl,11,off,2815267,221596,221596,0.000000,0.078712,0.078712,3848,2799,2799,0,0,0,0,0,11,0,0,2799,0.010421,0.060058,0.122722,0,0.000000,209.314100,275.608200,1.316721,11.615200,11.771200,1.343068,1,1,0
tests\corpus\generated.log,11,off,1942280,175723,175723,0.000000,0.090473,0.090473,4225,3786,3786,0,0,0,0,0,8,0,0,3786,-0.094808,0.005361,0.134296,0,0.000000,148.305700,204.504800,1.378941,8.193500,8.812700,7.557210,1,1,0
tests\corpus\generated.repeat.jsonl,11,off,940000,1182,1182,0.000000,0.001257,0.001257,38,25,25,0,0,0,0,0,4,0,0,25,-0.365253,-0.324814,-0.311664,0,0.000000,13.052100,30.839700,2.362815,1.546300,1.742500,12.688353,1,1,0
tests\corpus\generated.sqlite,11,off,1740800,363364,363364,0.000000,0.208734,0.208734,21005,16144,16144,0,0,0,0,0,7,0,0,16144,-0.076458,0.049719,0.457534,0,0.000000,282.750500,323.965600,1.145765,11.210000,11.173800,-0.322926,1,1,0
tests\corpus\random.bin,11,off,262144,262166,262166,0.000000,1.000084,1.000084,15,7,7,0,0,0,0,0,1,0,0,7,-0.313790,-0.305181,-0.305181,0,0.000000,102.458300,113.852600,1.111209,0.089300,0.211100,136.394177,1,1,0
tests\corpus\src.cpp,11,off,32512,10645,10645,0.000000,0.327418,0.327418,2909,2003,2003,0,0,0,0,0,1,0,0,2003,0.040069,0.546550,1.215091,0,0.000000,16.220600,19.118400,1.178649,0.267300,0.229300,-14.216236,1,1,0
tests\corpus\synth-arith.bin,11,off,256000,168239,168239,0.000000,0.657184,0.657184,2382,1213,1213,0,0,0,0,0,1,0,0,1213,0.016643,0.114308,0.406492,0,0.000000,95.786000,115.522900,1.206052,1.571900,1.392800,-11.393855,1,1,0
tests\corpus\synth-columnar-align.bin,11,off,276000,118089,118089,0.000000,0.427859,0.427859,531,265,265,0,0,0,0,0,2,0,0,265,-0.029145,0.029134,0.046903,0,0.000000,29.207400,35.641300,1.220283,1.405900,1.249500,-11.124547,1,1,0
tests\corpus\synth-counters.log,11,off,1107326,144144,144144,0.000000,0.130173,0.130173,1138,937,937,0,0,0,0,0,5,0,0,937,-0.186040,-0.139424,0.002544,0,0.000000,74.882500,103.054900,1.376221,3.899500,4.404400,12.947814,1,1,0
tests\corpus\synth-drift-stride.bin,11,off,615376,152062,152062,0.000000,0.247104,0.247104,7005,3563,3563,0,0,0,0,0,3,0,0,3563,-0.065272,0.290228,1.963666,0,0.000000,65.958400,92.299500,1.399359,2.654600,3.026300,14.002110,1,1,0
tests\corpus\synth-jitter.bin,11,off,974920,97384,97384,0.000000,0.099889,0.099889,13326,7131,7131,0,0,0,0,0,4,0,0,7131,-0.012861,0.267036,0.568996,0,0.000000,97.435200,125.808500,1.291202,3.779000,3.739400,-1.047896,1,1,0
tests\corpus\synth-timeseries.bin,11,off,280000,143132,143132,0.000000,0.511186,0.511186,13255,6629,6629,0,0,0,0,0,2,0,0,6629,0.162217,22.192633,22.192633,0,0.000000,108.136400,125.507900,1.160644,1.898400,1.803700,-4.988411,1,1,0
