file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note
scratch/ratio-first/corpora/silesia/dickens,plain_fresh,REF,10192446,5,569.4563,558.9713,493.6836,620.9983,8.00,17.90,55.8704,0,baseline
scratch/ratio-first/corpora/silesia/dickens,plain_reuse,REF,10192446,5,613.3189,634.3976,513.9353,756.2127,13.10,16.62,60.1739,0,baseline
scratch/ratio-first/corpora/silesia/dickens,plain_freq,REF,10192446,5,567.0207,575.2804,541.8847,613.4016,5.43,17.98,55.6315,0,baseline
scratch/ratio-first/corpora/silesia/dickens,aux_r1048576,REF,10192446,5,192.8585,199.9982,182.1418,220.2260,7.98,52.85,18.9217,0,aux_index_input
scratch/ratio-first/corpora/silesia/dickens,aux_r262144,REF,10192446,5,167.1298,171.3335,151.4129,187.9349,8.42,60.99,16.3974,0,aux_index_input
scratch/ratio-first/corpora/silesia/dickens,aux_r65536,REF,10192446,5,176.3030,172.4778,152.7084,194.1543,8.29,57.81,17.2974,0,aux_index_input
scratch/ratio-first/corpora/silesia/dickens,aux_r8192,REF,10192446,5,153.7136,160.2386,147.4451,181.2047,8.23,66.31,15.0811,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,plain_fresh,REF,41458703,5,2184.7543,2259.9222,2077.2874,2719.8310,10.45,18.98,52.6971,0,baseline
scratch/ratio-first/corpora/silesia/webster,plain_reuse,REF,41458703,5,2227.6391,2291.7273,2128.7006,2595.6842,6.96,18.61,53.7315,0,baseline
scratch/ratio-first/corpora/silesia/webster,plain_freq,REF,41458703,5,2365.7634,2346.3363,2032.3818,2754.1883,11.86,17.52,57.0631,0,baseline
scratch/ratio-first/corpora/silesia/webster,aux_r4194304,REF,41458703,5,774.5325,809.1364,744.1917,958.5020,9.54,53.53,18.6820,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r1048576,REF,41458703,5,644.7952,669.8095,623.3589,786.2057,8.87,64.30,15.5527,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r262144,REF,41458703,5,625.0335,652.8632,614.0356,751.8565,7.84,66.33,15.0761,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r32768,REF,41458703,5,636.1095,642.1187,619.8588,691.1674,4.01,65.18,15.3432,0,aux_index_input
file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note
scratch/ratio-first/corpora/silesia/dickens,plain_fresh,OMP,10192446,5,601.0130,615.6452,534.8470,707.2430,9.67,16.96,58.9665,0,baseline
scratch/ratio-first/corpora/silesia/dickens,plain_reuse,OMP,10192446,5,567.4632,602.7452,520.9131,749.1675,13.26,17.96,55.6749,0,baseline
scratch/ratio-first/corpora/silesia/dickens,plain_freq,OMP,10192446,5,561.3842,587.9386,506.4623,764.0402,15.38,18.16,55.0785,0,baseline
scratch/ratio-first/corpora/silesia/dickens,aux_r524288,OMP,10192446,5,173.1488,183.2987,149.3398,252.5343,19.58,58.87,16.9880,0,aux_index_input
scratch/ratio-first/corpora/silesia/dickens,aux_r131072,OMP,10192446,5,168.3208,181.4688,152.2599,242.5434,17.72,60.55,16.5143,0,aux_index_input
scratch/ratio-first/corpora/silesia/dickens,aux_r32768,OMP,10192446,5,172.0671,180.3238,143.3384,251.0899,20.72,59.24,16.8818,0,aux_index_input
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t1,OMP,10192446,5,588.5577,607.5781,496.8761,814.2435,17.94,17.32,57.7445,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t1,OMP,10192446,5,168.9870,166.7764,152.6500,174.7241,4.94,60.31,16.5796,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t1,OMP,10192446,5,176.6945,176.1576,150.8134,207.8866,11.02,57.68,17.3358,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r32768_t1,OMP,10192446,5,169.7073,177.0579,151.0531,215.7779,12.57,60.06,16.6503,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t4,OMP,10192446,5,577.5251,566.1720,469.9338,667.1438,11.44,17.65,56.6621,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t4,OMP,10192446,5,62.0497,63.1721,50.2053,76.5841,15.00,164.26,6.0878,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t4,OMP,10192446,5,56.7785,56.6574,50.3746,65.6508,9.00,179.51,5.5706,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r32768_t4,OMP,10192446,5,54.0865,54.9063,46.7299,68.5515,13.84,188.45,5.3065,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t8,OMP,10192446,5,550.3347,559.0762,450.1822,675.8397,13.08,18.52,53.9944,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t8,OMP,10192446,5,42.1669,48.7156,39.7432,70.0618,23.47,241.72,4.1371,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t8,OMP,10192446,5,35.7179,38.2177,31.1093,53.6678,20.88,285.36,3.5044,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r32768_t8,OMP,10192446,5,32.5076,30.9157,26.1752,35.8617,12.24,313.54,3.1894,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t16,OMP,10192446,5,512.9617,521.6376,463.1495,605.6975,9.36,19.87,50.3276,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t16,OMP,10192446,5,33.4313,34.4286,29.0697,42.5340,12.87,304.88,3.2800,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t16,OMP,10192446,5,20.0129,19.7194,18.0723,21.5279,6.22,509.29,1.9635,0,omp_prototype
scratch/ratio-first/corpora/silesia/dickens,omp_r32768_t16,OMP,10192446,5,21.8320,22.7982,19.6442,26.5728,13.05,466.86,2.1420,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,plain_fresh,OMP,41458703,5,2356.6982,2380.8951,2182.4338,2672.6375,6.79,17.59,56.8445,0,baseline
scratch/ratio-first/corpora/silesia/webster,plain_reuse,OMP,41458703,5,2231.3996,2208.0754,2081.1112,2356.0418,4.35,18.58,53.8222,0,baseline
scratch/ratio-first/corpora/silesia/webster,plain_freq,OMP,41458703,5,2245.8158,2363.7145,2146.9382,2932.3657,12.33,18.46,54.1699,0,baseline
scratch/ratio-first/corpora/silesia/webster,aux_r2097152,OMP,41458703,5,705.7179,711.9551,679.4372,749.7503,3.92,58.75,17.0222,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r524288,OMP,41458703,5,658.8558,655.5349,620.0581,696.6491,3.97,62.93,15.8919,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r131072,OMP,41458703,5,650.4088,658.5614,621.3936,713.7845,5.52,63.74,15.6881,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,omp_rn_t1,OMP,41458703,5,2115.1858,2284.4416,2049.2008,2830.4545,12.86,19.60,51.0191,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t1,OMP,41458703,5,698.2129,724.1261,669.9075,837.4836,8.30,59.38,16.8412,0,omp_prototype
