file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note,reps_ms
scratch/ratio-first/corpora/silesia/dickens,plain_fresh,REF,10192446,7,493.9200,521.4404,474.4415,609.8270,10.31,20.64,48.4594,1,baseline,609.8270;484.5865;474.4415;505.2156;481.5393;600.5529;493.9200
scratch/ratio-first/corpora/silesia/dickens,plain_reuse,REF,10192446,7,510.1364,529.4476,463.3495,606.7761,8.60,19.98,50.0504,1,baseline,582.5372;509.8511;528.3101;505.1729;463.3495;606.7761;510.1364
scratch/ratio-first/corpora/silesia/dickens,plain_freq,REF,10192446,7,514.9691,509.9212,483.4565,528.2844,2.82,19.79,50.5246,1,baseline,528.2844;501.3780;501.3633;524.1242;483.4565;515.8730;514.9691
scratch/ratio-first/corpora/silesia/dickens,aux_r1048576,REF,10192446,7,188.8269,189.2603,174.4381,208.2635,6.31,53.98,18.5262,1,aux_index_input,174.4381;188.8269;181.9595;190.0487;204.0381;208.2635;177.2472
scratch/ratio-first/corpora/silesia/dickens,aux_r262144,REF,10192446,7,145.2274,149.4904,138.5801,171.7250,7.13,70.18,14.2485,1,aux_index_input,141.1265;150.1191;143.0368;138.5801;171.7250;156.6180;145.2274
scratch/ratio-first/corpora/silesia/dickens,aux_r65536,REF,10192446,7,151.7585,151.4990,142.3909,166.8353,4.94,67.16,14.8893,1,aux_index_input,152.9836;151.7585;143.1782;142.3909;150.4463;166.8353;152.9000
scratch/ratio-first/corpora/silesia/dickens,aux_r8192,REF,10192446,7,146.9805,149.5198,141.1208,163.1131,4.83,69.35,14.4205,1,aux_index_input,143.9795;141.1208;147.9127;146.2593;163.1131;157.2727;146.9805
scratch/ratio-first/corpora/silesia/webster,plain_fresh,REF,41458703,7,2258.6190,2391.7349,2082.0051,2911.0607,13.28,18.36,54.4788,1,baseline,2911.0607;2147.7716;2082.0051;2125.7530;2830.5649;2258.6190;2386.3702
scratch/ratio-first/corpora/silesia/webster,plain_reuse,REF,41458703,7,2191.0482,2389.4039,2104.8632,2911.8509,11.71,18.92,52.8489,1,baseline,2570.0801;2185.2763;2104.8632;2191.0482;2581.8403;2180.8681;2911.8509
scratch/ratio-first/corpora/silesia/webster,plain_freq,REF,41458703,7,2225.2612,2247.2457,2124.4426,2425.3748,5.09,18.63,53.6742,1,baseline,2144.3593;2225.2612;2158.1022;2245.8765;2407.3036;2124.4426;2425.3748
scratch/ratio-first/corpora/silesia/webster,aux_r4194304,REF,41458703,7,793.3553,814.1232,753.6676,962.9365,8.30,52.26,19.1360,1,aux_index_input,753.6676;753.9393;793.3553;962.9365;802.3071;785.0433;847.6131
scratch/ratio-first/corpora/silesia/webster,aux_r1048576,REF,41458703,7,680.6463,702.4992,624.5334,879.0439,11.36,60.91,16.4175,1,aux_index_input,633.7944;624.5334;680.6463;879.0439;695.5117;669.7523;734.2127
scratch/ratio-first/corpora/silesia/webster,aux_r262144,REF,41458703,7,658.0346,676.2062,622.0832,782.5044,7.61,63.00,15.8720,1,aux_index_input,622.0832;626.8315;707.1614;782.5044;683.6356;658.0346;653.1928
scratch/ratio-first/corpora/silesia/webster,aux_r32768,REF,41458703,7,646.2510,695.5097,629.8197,892.9857,13.04,64.15,15.5878,1,aux_index_input,629.8197;656.0140;646.2510;761.3521;645.1207;637.0250;892.9857
scratch/ratio-first/corpora/enwik8dir/enwik8,plain_fresh,REF,100000000,7,5881.1257,5948.4686,5582.2365,6762.6807,6.14,17.00,58.8113,1,baseline,6762.6807;6026.5121;5582.2365;5988.8663;5680.8177;5717.0412;5881.1257
scratch/ratio-first/corpora/enwik8dir/enwik8,plain_reuse,REF,100000000,7,5774.6901,5890.6923,5536.2547,6726.5315,6.09,17.32,57.7469,1,baseline,5801.0966;5736.7279;5936.9843;5722.5607;6726.5315;5774.6901;5536.2547
scratch/ratio-first/corpora/enwik8dir/enwik8,plain_freq,REF,100000000,7,6037.2851,5950.8963,5555.8727,6336.5598,4.83,16.56,60.3729,1,baseline,6068.7615;6037.2851;5787.0611;6336.5598;6270.5360;5555.8727;5600.1976
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r8388608,REF,100000000,7,1889.2641,1906.7140,1850.3618,2040.3070,3.14,52.93,18.8926,1,aux_index_input,1923.9417;2040.3070;1850.3618;1911.1660;1856.7156;1875.2415;1889.2641
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r2097152,REF,100000000,7,1685.0608,1727.7257,1642.1173,1899.1661,5.31,59.35,16.8506,1,aux_index_input,1834.4000;1899.1661;1652.3320;1707.6605;1642.1173;1673.3431;1685.0608
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r524288,REF,100000000,7,1657.6185,1714.7325,1635.3414,1915.6558,6.01,60.33,16.5762,1,aux_index_input,1635.3414;1915.6558;1639.8927;1676.0817;1649.7093;1657.6185;1828.8281
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r65536,REF,100000000,7,1765.1210,1783.9174,1617.2371,1963.1562,6.68,56.65,17.6512,1,aux_index_input,1757.0605;1852.3019;1765.1210;1617.2371;1637.5177;1963.1562;1895.0273
file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note,reps_ms
scratch/ratio-first/corpora/silesia/dickens,plain_fresh,OMP,10192446,7,502.6626,493.5524,458.8648,535.1016,6.01,20.28,49.3172,1,baseline,461.3930;524.9570;508.4128;458.8648;463.4747;535.1016;502.6626
scratch/ratio-first/corpora/silesia/dickens,plain_reuse,OMP,10192446,7,481.2495,496.6954,451.2356,539.2031,7.02,21.18,47.2163,1,baseline,451.2356;539.2031;535.4497;481.2495;461.1741;531.7521;476.8035
scratch/ratio-first/corpora/silesia/dickens,plain_freq,OMP,10192446,7,508.6140,508.5881,444.0519,568.1351,9.54,20.04,49.9011,1,baseline,508.6140;549.0411;568.1351;444.0519;453.0120;562.3953;474.8670
scratch/ratio-first/corpora/silesia/dickens,aux_r524288,OMP,10192446,7,150.0466,154.1837,143.9132,168.4822,6.35,67.93,14.7214,1,aux_index_input,150.0466;168.4822;144.6049;143.9132;146.8658;167.8751;157.4978
scratch/ratio-first/corpora/silesia/dickens,aux_r131072,OMP,10192446,7,143.5604,149.6764,134.6623,183.6057,9.99,71.00,14.0850,1,aux_index_input,142.2744;155.1645;142.4432;134.6623;146.0245;183.6057;143.5604
scratch/ratio-first/corpora/silesia/dickens,aux_r32768,OMP,10192446,7,150.2828,150.2234,140.1069,164.5770,5.08,67.82,14.7445,1,aux_index_input,146.3100;156.0148;164.5770;140.1069;151.0980;150.2828;143.1744
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t1,OMP,10192446,7,514.1129,542.5388,448.9341,772.1902,19.22,19.83,50.4406,1,omp_prototype,477.6255;514.1129;590.8338;457.7350;448.9341;772.1902;536.3403
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t1,OMP,10192446,7,158.4500,159.2497,142.3804,172.2963,5.97,64.33,15.5458,1,omp_prototype,165.3131;152.0578;168.1639;142.3804;158.4500;172.2963;156.0863
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t1,OMP,10192446,7,146.4139,146.9186,138.4193,159.4997,4.47,69.61,14.3649,1,omp_prototype,159.4997;146.4139;139.5805;138.4193;150.8884;147.7376;145.8905
scratch/ratio-first/corpora/silesia/dickens,omp_r32768_t1,OMP,10192446,7,142.1752,142.7564,133.3531,152.5370,5.06,71.69,13.9491,1,omp_prototype,152.5370;142.1752;133.5966;139.3880;147.5117;133.3531;150.7334
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t4,OMP,10192446,7,445.8881,457.2314,406.5212,515.1087,8.02,22.86,43.7469,4,omp_prototype,490.5984;445.8881;406.5212;437.8083;515.1087;422.1328;482.5625
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t4,OMP,10192446,7,51.3876,52.1008,47.3609,58.5877,6.35,198.34,5.0417,4,omp_prototype,51.3876;49.9502;47.3609;52.0150;50.9535;54.4504;58.5877
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t4,OMP,10192446,7,49.8809,49.9448,45.3806,54.1038,5.99,204.34,4.8939,4,omp_prototype,54.1038;45.3806;49.8809;46.8569;49.0465;50.7149;53.6301
scratch/ratio-first/corpora/silesia/dickens,omp_r32768_t4,OMP,10192446,7,48.0900,49.0397,45.1008,55.4906,6.47,211.95,4.7182,4,omp_prototype,46.6329;48.0900;45.1008;47.2709;50.2219;50.4709;55.4906
scratch/ratio-first/corpora/silesia/dickens,omp_rn_t8,OMP,10192446,7,492.1866,463.1655,359.5650,532.3614,13.07,20.71,48.2894,8,omp_prototype,492.1866;441.7970;396.4748;359.5650;506.7679;513.0059;532.3614
scratch/ratio-first/corpora/silesia/dickens,omp_r524288_t8,OMP,10192446,7,38.9273,37.9836,33.5132,39.6333,5.25,261.83,3.8192,8,omp_prototype,37.2981;39.4720;38.9273;33.5132;37.8079;39.2331;39.6333
scratch/ratio-first/corpora/silesia/dickens,omp_r131072_t8,OMP,10192446,7,30.0118,29.2431,25.9071,32.2348,7.52,339.61,2.9445,8,omp_prototype,30.8212;30.0118;26.5618;25.9071;30.8684;32.2348;28.2963
