variant,rep,seconds
baseline_full_decompress,0,0.866323
baseline_full_decompress,1,0.913786
baseline_full_decompress,2,0.994241
baseline_full_decompress,3,1.022601
baseline_full_decompress,4,1.095158
baseline_full_decompress,5,1.064326
baseline_full_decompress,6,1.148115
stageA_postcoder,0,0.409726
stageA_postcoder,1,0.421552
stageA_postcoder,2,0.418708
stageA_postcoder,3,0.407497
stageA_postcoder,4,0.401149
stageA_postcoder,5,0.401692
stageA_postcoder,6,0.411396
allocB1_out_tmp,0,0.005475
allocB1_out_tmp,1,0.005211
allocB1_out_tmp,2,0.006150
allocB1_out_tmp,3,0.007690
allocB1_out_tmp,4,0.006697
allocB1_out_tmp,5,0.005810
allocB1_out_tmp,6,0.006505
B1plusB2_unbwt,0,0.857396
B1plusB2_unbwt,1,0.973808
B1plusB2_unbwt,2,1.063189
B1plusB2_unbwt,3,1.008131
B1plusB2_unbwt,4,1.142710
B1plusB2_unbwt,5,1.137144
B1plusB2_unbwt,6,1.070822
stageC_transform_inverse,0,0.001596
stageC_transform_inverse,1,0.001466
stageC_transform_inverse,2,0.001329
stageC_transform_inverse,3,0.001506
stageC_transform_inverse,4,0.002110
stageC_transform_inverse,5,0.002300
stageC_transform_inverse,6,0.002607
crc32_bytewise,0,0.000922
crc32_bytewise,1,0.001160
crc32_bytewise,2,0.000805
crc32_bytewise,3,0.000811
crc32_bytewise,4,0.001242
crc32_bytewise,5,0.001330
crc32_bytewise,6,0.000908
memcpy_out,0,0.001757
memcpy_out,1,0.003652
memcpy_out,2,0.002120
memcpy_out,3,0.001725
memcpy_out,4,0.002593
memcpy_out,5,0.002537
memcpy_out,6,0.002034
