variant,rep,seconds
baseline_full_decompress,0,3.269491
baseline_full_decompress,1,3.247178
baseline_full_decompress,2,3.309452
baseline_full_decompress,3,3.317973
baseline_full_decompress,4,3.529663
baseline_full_decompress,5,4.023032
baseline_full_decompress,6,4.068098
stageA_postcoder,0,1.136739
stageA_postcoder,1,1.143239
stageA_postcoder,2,1.202016
stageA_postcoder,3,1.299657
stageA_postcoder,4,1.166961
stageA_postcoder,5,1.151378
stageA_postcoder,6,1.201981
allocB1_out_tmp,0,0.021810
allocB1_out_tmp,1,0.021684
allocB1_out_tmp,2,0.048561
allocB1_out_tmp,3,0.039774
allocB1_out_tmp,4,0.025806
allocB1_out_tmp,5,0.025889
allocB1_out_tmp,6,0.025361
B1plusB2_unbwt,0,3.245266
B1plusB2_unbwt,1,3.446676
B1plusB2_unbwt,2,3.409997
B1plusB2_unbwt,3,4.027815
B1plusB2_unbwt,4,3.902415
B1plusB2_unbwt,5,3.777487
B1plusB2_unbwt,6,3.495166
stageC_transform_inverse,0,0.006465
stageC_transform_inverse,1,0.005016
stageC_transform_inverse,2,0.006159
stageC_transform_inverse,3,0.005642
stageC_transform_inverse,4,0.005265
stageC_transform_inverse,5,0.005330
stageC_transform_inverse,6,0.006236
crc32_bytewise,0,0.004529
crc32_bytewise,1,0.004273
crc32_bytewise,2,0.004801
crc32_bytewise,3,0.004407
crc32_bytewise,4,0.005055
crc32_bytewise,5,0.006870
crc32_bytewise,6,0.004332
memcpy_out,0,0.010408
memcpy_out,1,0.009068
memcpy_out,2,0.007439
memcpy_out,3,0.008394
memcpy_out,4,0.014541
memcpy_out,5,0.007201
memcpy_out,6,0.008558
