variant,rep,seconds
baseline_full_decompress,0,0.970411
baseline_full_decompress,1,0.913743
baseline_full_decompress,2,1.030904
baseline_full_decompress,3,0.847397
baseline_full_decompress,4,0.869255
baseline_full_decompress,5,1.014332
baseline_full_decompress,6,0.873020
stageA_postcoder,0,0.395004
stageA_postcoder,1,0.401483
stageA_postcoder,2,0.403238
stageA_postcoder,3,0.394678
stageA_postcoder,4,0.404483
stageA_postcoder,5,0.398985
stageA_postcoder,6,0.411773
allocB1_out_tmp,0,0.006503
allocB1_out_tmp,1,0.005453
allocB1_out_tmp,2,0.006130
allocB1_out_tmp,3,0.005586
allocB1_out_tmp,4,0.005533
allocB1_out_tmp,5,0.005246
allocB1_out_tmp,6,0.005171
B1plusB2_unbwt,0,0.818654
B1plusB2_unbwt,1,0.947794
B1plusB2_unbwt,2,0.951451
B1plusB2_unbwt,3,0.818678
B1plusB2_unbwt,4,1.010971
B1plusB2_unbwt,5,0.865702
B1plusB2_unbwt,6,0.809305
stageC_transform_inverse,0,0.001224
stageC_transform_inverse,1,0.001854
stageC_transform_inverse,2,0.001482
stageC_transform_inverse,3,0.001271
stageC_transform_inverse,4,0.001412
stageC_transform_inverse,5,0.001981
stageC_transform_inverse,6,0.001489
crc32_bytewise,0,0.000796
crc32_bytewise,1,0.001633
crc32_bytewise,2,0.000837
crc32_bytewise,3,0.000818
crc32_bytewise,4,0.000790
crc32_bytewise,5,0.001632
crc32_bytewise,6,0.000835
memcpy_out,0,0.001538
memcpy_out,1,0.002460
memcpy_out,2,0.001831
memcpy_out,3,0.002085
memcpy_out,4,0.001526
memcpy_out,5,0.003105
memcpy_out,6,0.001882
