variant,rep,seconds
baseline_full_decompress,0,3.433160
baseline_full_decompress,1,3.427040
baseline_full_decompress,2,3.326741
baseline_full_decompress,3,3.218012
baseline_full_decompress,4,3.239491
baseline_full_decompress,5,3.306928
baseline_full_decompress,6,3.516735
stageA_postcoder,0,1.206771
stageA_postcoder,1,1.131051
stageA_postcoder,2,1.130635
stageA_postcoder,3,1.140508
stageA_postcoder,4,1.122675
stageA_postcoder,5,1.153269
stageA_postcoder,6,1.137110
allocB1_out_tmp,0,0.022117
allocB1_out_tmp,1,0.025622
allocB1_out_tmp,2,0.024761
allocB1_out_tmp,3,0.021485
allocB1_out_tmp,4,0.022559
allocB1_out_tmp,5,0.021669
allocB1_out_tmp,6,0.023057
B1plusB2_unbwt,0,3.576012
B1plusB2_unbwt,1,3.188786
B1plusB2_unbwt,2,3.099727
B1plusB2_unbwt,3,3.049757
B1plusB2_unbwt,4,3.067005
B1plusB2_unbwt,5,3.420529
B1plusB2_unbwt,6,3.255546
stageC_transform_inverse,0,0.005311
stageC_transform_inverse,1,0.004875
stageC_transform_inverse,2,0.004795
stageC_transform_inverse,3,0.005316
stageC_transform_inverse,4,0.005848
stageC_transform_inverse,5,0.004945
stageC_transform_inverse,6,0.005197
crc32_bytewise,0,0.003970
crc32_bytewise,1,0.003242
crc32_bytewise,2,0.003417
crc32_bytewise,3,0.003213
crc32_bytewise,4,0.003345
crc32_bytewise,5,0.003341
crc32_bytewise,6,0.003368
memcpy_out,0,0.007270
memcpy_out,1,0.009141
memcpy_out,2,0.007071
memcpy_out,3,0.006686
memcpy_out,4,0.006841
memcpy_out,5,0.007068
memcpy_out,6,0.007788
