variant,rep,seconds
full,0,0.001159
full,1,0.001159
full,2,0.001160
full,3,0.001166
full,4,0.001155
full,5,0.001247
full,6,0.001317
no-lit-pull,0,0.000904
no-lit-pull,1,0.000900
no-lit-pull,2,0.000931
no-lit-pull,3,0.000934
no-lit-pull,4,0.000893
no-lit-pull,5,0.000997
no-lit-pull,6,0.001016
no-copy,0,0.001152
no-copy,1,0.001118
no-copy,2,0.001208
no-copy,3,0.001241
no-copy,4,0.001115
no-copy,5,0.001115
no-copy,6,0.001110
no-macro,0,0.000896
no-macro,1,0.000788
no-macro,2,0.000789
no-macro,3,0.000788
no-macro,4,0.000840
no-macro,5,0.000817
no-macro,6,0.000789
setup-only,0,0.000355
setup-only,1,0.000357
setup-only,2,0.000426
setup-only,3,0.000356
setup-only,4,0.000401
setup-only,5,0.000391
setup-only,6,0.000356
opcode-pull-only,0,0.000427
opcode-pull-only,1,0.000426
opcode-pull-only,2,0.000427
opcode-pull-only,3,0.000430
opcode-pull-only,4,0.000427
opcode-pull-only,5,0.000429
opcode-pull-only,6,0.000437
