variant,rep,seconds
baseline,0,0.004135
baseline,1,0.004044
baseline,2,0.004094
baseline,3,0.004068
baseline,4,0.004142
baseline,5,0.004107
baseline,6,0.004282
raw:opcodes,0,0.004104
raw:opcodes,1,0.004061
raw:opcodes,2,0.004219
raw:opcodes,3,0.004076
raw:opcodes,4,0.004131
raw:opcodes,5,0.004092
raw:opcodes,6,0.004198
raw:macro-types,0,0.004091
raw:macro-types,1,0.004040
raw:macro-types,2,0.004070
raw:macro-types,3,0.004079
raw:macro-types,4,0.004122
raw:macro-types,5,0.004314
raw:macro-types,6,0.004104
raw:macro-ll,0,0.004148
raw:macro-ll,1,0.004172
raw:macro-ll,2,0.004108
raw:macro-ll,3,0.004152
raw:macro-ll,4,0.004124
raw:macro-ll,5,0.004144
raw:macro-ll,6,0.004087
raw:macro-ml,0,0.004145
raw:macro-ml,1,0.004011
raw:macro-ml,2,0.004047
raw:macro-ml,3,0.004028
raw:macro-ml,4,0.004076
raw:macro-ml,5,0.004155
raw:macro-ml,6,0.004024
raw:macro-dflags,0,0.004153
raw:macro-dflags,1,0.004060
raw:macro-dflags,2,0.004035
raw:macro-dflags,3,0.004103
raw:macro-dflags,4,0.004155
raw:macro-dflags,5,0.004076
raw:macro-dflags,6,0.004102
raw:macro-dvar,0,0.004076
raw:macro-dvar,1,0.004029
raw:macro-dvar,2,0.003985
raw:macro-dvar,3,0.004085
raw:macro-dvar,4,0.004182
raw:macro-dvar,5,0.004527
raw:macro-dvar,6,0.004056
raw:literals,0,0.004106
raw:literals,1,0.004092
raw:literals,2,0.004079
raw:literals,3,0.004266
raw:literals,4,0.004211
raw:literals,5,0.004858
raw:literals,6,0.004085
raw:macro-masks,0,0.003435
raw:macro-masks,1,0.003449
raw:macro-masks,2,0.003417
raw:macro-masks,3,0.003441
raw:macro-masks,4,0.003446
raw:macro-masks,5,0.004056
raw:macro-masks,6,0.003432
raw:macro-resid,0,0.003518
raw:macro-resid,1,0.003497
raw:macro-resid,2,0.003525
raw:macro-resid,3,0.003493
raw:macro-resid,4,0.003551
raw:macro-resid,5,0.003959
raw:macro-resid,6,0.003573
raw:opcodes+literals,0,0.004052
raw:opcodes+literals,1,0.004024
raw:opcodes+literals,2,0.004246
raw:opcodes+literals,3,0.004057
raw:opcodes+literals,4,0.004079
raw:opcodes+literals,5,0.004164
raw:opcodes+literals,6,0.004180
raw:ALL9,0,0.002663
raw:ALL9,1,0.002657
raw:ALL9,2,0.002846
raw:ALL9,3,0.002658
raw:ALL9,4,0.002677
raw:ALL9,5,0.002747
raw:ALL9,6,0.002783
