variant,rep,seconds
baseline,0,0.003843
baseline,1,0.003832
baseline,2,0.003966
baseline,3,0.004479
baseline,4,0.004059
baseline,5,0.003864
baseline,6,0.004190
raw:opcodes,0,0.003828
raw:opcodes,1,0.003807
raw:opcodes,2,0.003831
raw:opcodes,3,0.004083
raw:opcodes,4,0.004507
raw:opcodes,5,0.003886
raw:opcodes,6,0.003870
raw:macro-types,0,0.003991
raw:macro-types,1,0.003842
raw:macro-types,2,0.003844
raw:macro-types,3,0.004108
raw:macro-types,4,0.003949
raw:macro-types,5,0.003805
raw:macro-types,6,0.003818
raw:macro-ll,0,0.004112
raw:macro-ll,1,0.003848
raw:macro-ll,2,0.003869
raw:macro-ll,3,0.003954
raw:macro-ll,4,0.003860
raw:macro-ll,5,0.003984
raw:macro-ll,6,0.003887
raw:macro-ml,0,0.004185
raw:macro-ml,1,0.003788
raw:macro-ml,2,0.003775
raw:macro-ml,3,0.004169
raw:macro-ml,4,0.003766
raw:macro-ml,5,0.003772
raw:macro-ml,6,0.003775
raw:macro-dflags,0,0.003928
raw:macro-dflags,1,0.004161
raw:macro-dflags,2,0.003814
raw:macro-dflags,3,0.003923
raw:macro-dflags,4,0.003839
raw:macro-dflags,5,0.003839
raw:macro-dflags,6,0.004168
raw:macro-dvar,0,0.003783
raw:macro-dvar,1,0.003790
raw:macro-dvar,2,0.003799
raw:macro-dvar,3,0.003784
raw:macro-dvar,4,0.004173
raw:macro-dvar,5,0.003754
raw:macro-dvar,6,0.003749
raw:literals,0,0.003806
raw:literals,1,0.003816
raw:literals,2,0.004132
raw:literals,3,0.004030
raw:literals,4,0.003846
raw:literals,5,0.004001
raw:literals,6,0.003890
raw:macro-masks,0,0.003505
raw:macro-masks,1,0.003178
raw:macro-masks,2,0.003229
raw:macro-masks,3,0.003370
raw:macro-masks,4,0.003179
raw:macro-masks,5,0.003515
raw:macro-masks,6,0.003384
raw:macro-resid,0,0.003304
raw:macro-resid,1,0.003372
raw:macro-resid,2,0.003283
raw:macro-resid,3,0.003915
raw:macro-resid,4,0.003303
raw:macro-resid,5,0.003303
raw:macro-resid,6,0.003495
raw:opcodes+literals,0,0.003987
raw:opcodes+literals,1,0.004206
raw:opcodes+literals,2,0.003845
raw:opcodes+literals,3,0.004073
raw:opcodes+literals,4,0.003838
raw:opcodes+literals,5,0.003802
raw:opcodes+literals,6,0.004467
raw:ALL9,0,0.002415
raw:ALL9,1,0.002413
raw:ALL9,2,0.002556
raw:ALL9,3,0.002539
raw:ALL9,4,0.002750
raw:ALL9,5,0.002391
raw:ALL9,6,0.002541
