variant,rep,seconds
baseline,0,0.002320
baseline,1,0.001736
baseline,2,0.001819
baseline,3,0.001766
baseline,4,0.001753
baseline,5,0.001764
baseline,6,0.001730
raw:opcodes,0,0.002402
raw:opcodes,1,0.001935
raw:opcodes,2,0.001748
raw:opcodes,3,0.001886
raw:opcodes,4,0.001889
raw:opcodes,5,0.001726
raw:opcodes,6,0.001924
raw:macro-types,0,0.002287
raw:macro-types,1,0.001725
raw:macro-types,2,0.002035
raw:macro-types,3,0.001723
raw:macro-types,4,0.001741
raw:macro-types,5,0.001947
raw:macro-types,6,0.002255
raw:macro-ll,0,0.002506
raw:macro-ll,1,0.002336
raw:macro-ll,2,0.001779
raw:macro-ll,3,0.002014
raw:macro-ll,4,0.001955
raw:macro-ll,5,0.001727
raw:macro-ll,6,0.002276
raw:macro-ml,0,0.002466
raw:macro-ml,1,0.002238
raw:macro-ml,2,0.002005
raw:macro-ml,3,0.002233
raw:macro-ml,4,0.001725
raw:macro-ml,5,0.001906
raw:macro-ml,6,0.002220
raw:macro-dflags,0,0.002066
raw:macro-dflags,1,0.002551
raw:macro-dflags,2,0.001712
raw:macro-dflags,3,0.002515
raw:macro-dflags,4,0.001921
raw:macro-dflags,5,0.001712
raw:macro-dflags,6,0.002553
raw:macro-dvar,0,0.002234
raw:macro-dvar,1,0.002182
raw:macro-dvar,2,0.001951
raw:macro-dvar,3,0.002215
raw:macro-dvar,4,0.001684
raw:macro-dvar,5,0.001869
raw:macro-dvar,6,0.002198
raw:literals,0,0.001504
raw:literals,1,0.002213
raw:literals,2,0.001500
raw:literals,3,0.001921
raw:literals,4,0.001689
raw:literals,5,0.001490
raw:literals,6,0.001932
raw:macro-masks,0,0.001701
raw:macro-masks,1,0.001918
raw:macro-masks,2,0.001706
raw:macro-masks,3,0.002207
raw:macro-masks,4,0.001527
raw:macro-masks,5,0.001684
raw:macro-masks,6,0.001806
raw:macro-resid,0,0.001785
raw:macro-resid,1,0.002535
raw:macro-resid,2,0.001752
raw:macro-resid,3,0.002335
raw:macro-resid,4,0.001952
raw:macro-resid,5,0.001732
raw:macro-resid,6,0.001788
raw:opcodes+literals,0,0.001660
raw:opcodes+literals,1,0.001570
raw:opcodes+literals,2,0.001440
raw:opcodes+literals,3,0.001961
raw:opcodes+literals,4,0.001437
raw:opcodes+literals,5,0.001675
raw:opcodes+literals,6,0.001646
raw:ALL9,0,0.001091
raw:ALL9,1,0.001308
raw:ALL9,2,0.001269
raw:ALL9,3,0.001090
raw:ALL9,4,0.001264
raw:ALL9,5,0.001087
raw:ALL9,6,0.001096
