variant,rep,seconds
full,0,0.002230
full,1,0.002214
full,2,0.002213
full,3,0.002208
full,4,0.002232
full,5,0.002247
full,6,0.002319
no-lit-pull,0,0.002236
no-lit-pull,1,0.002203
no-lit-pull,2,0.002192
no-lit-pull,3,0.002242
no-lit-pull,4,0.002255
no-lit-pull,5,0.002214
no-lit-pull,6,0.002398
no-copy,0,0.002337
no-copy,1,0.002144
no-copy,2,0.002154
no-copy,3,0.002151
no-copy,4,0.002163
no-copy,5,0.002199
no-copy,6,0.002328
no-macro,0,0.001662
no-macro,1,0.001673
no-macro,2,0.001642
no-macro,3,0.001661
no-macro,4,0.001848
no-macro,5,0.001645
no-macro,6,0.001801
setup-only,0,0.001424
setup-only,1,0.001425
setup-only,2,0.001424
setup-only,3,0.001437
setup-only,4,0.001524
setup-only,5,0.001424
setup-only,6,0.001597
opcode-pull-only,0,0.001458
opcode-pull-only,1,0.001470
opcode-pull-only,2,0.001492
opcode-pull-only,3,0.001466
opcode-pull-only,4,0.001470
opcode-pull-only,5,0.001493
opcode-pull-only,6,0.001590
