variant,rep,seconds
full,0,0.002248
full,1,0.002253
full,2,0.002389
full,3,0.002469
full,4,0.002467
full,5,0.002251
full,6,0.002484
no-lit-pull,0,0.002197
no-lit-pull,1,0.002209
no-lit-pull,2,0.002390
no-lit-pull,3,0.002419
no-lit-pull,4,0.002437
no-lit-pull,5,0.002209
no-lit-pull,6,0.002410
no-copy,0,0.002187
no-copy,1,0.002168
no-copy,2,0.002424
no-copy,3,0.002572
no-copy,4,0.002386
no-copy,5,0.002177
no-copy,6,0.002339
no-macro,0,0.001673
no-macro,1,0.001648
no-macro,2,0.002001
no-macro,3,0.001885
no-macro,4,0.001675
no-macro,5,0.001645
no-macro,6,0.001806
setup-only,0,0.001447
setup-only,1,0.001450
setup-only,2,0.001556
setup-only,3,0.001573
setup-only,4,0.001440
setup-only,5,0.001442
setup-only,6,0.001562
opcode-pull-only,0,0.001462
opcode-pull-only,1,0.001461
opcode-pull-only,2,0.001613
opcode-pull-only,3,0.001607
opcode-pull-only,4,0.001539
opcode-pull-only,5,0.001470
opcode-pull-only,6,0.001596
