variant,rep,seconds
full,0,0.002748
full,1,0.002673
full,2,0.002793
full,3,0.002673
full,4,0.002669
full,5,0.003141
full,6,0.002636
no-lit-pull,0,0.002609
no-lit-pull,1,0.002695
no-lit-pull,2,0.002840
no-lit-pull,3,0.002942
no-lit-pull,4,0.002657
no-lit-pull,5,0.003148
no-lit-pull,6,0.002649
no-copy,0,0.002563
no-copy,1,0.002758
no-copy,2,0.002655
no-copy,3,0.002635
no-copy,4,0.002772
no-copy,5,0.002796
no-copy,6,0.002571
no-macro,0,0.002075
no-macro,1,0.002213
no-macro,2,0.002117
no-macro,3,0.002053
no-macro,4,0.002470
no-macro,5,0.002043
no-macro,6,0.002074
setup-only,0,0.001918
setup-only,1,0.001963
setup-only,2,0.001927
setup-only,3,0.001842
setup-only,4,0.002208
setup-only,5,0.001824
setup-only,6,0.001846
opcode-pull-only,0,0.001878
opcode-pull-only,1,0.001942
opcode-pull-only,2,0.001875
opcode-pull-only,3,0.001872
opcode-pull-only,4,0.002247
opcode-pull-only,5,0.001862
opcode-pull-only,6,0.001855
