variant,rep,seconds
full,0,0.001308
full,1,0.001542
full,2,0.001508
full,3,0.001328
full,4,0.001334
full,5,0.001308
full,6,0.001299
no-lit-pull,0,0.001202
no-lit-pull,1,0.001323
no-lit-pull,2,0.001259
no-lit-pull,3,0.001124
no-lit-pull,4,0.001130
no-lit-pull,5,0.001151
no-lit-pull,6,0.001104
no-copy,0,0.001544
no-copy,1,0.001661
no-copy,2,0.001519
no-copy,3,0.001342
no-copy,4,0.001364
no-copy,5,0.001317
no-copy,6,0.001400
no-macro,0,0.001158
no-macro,1,0.001197
no-macro,2,0.001176
no-macro,3,0.001020
no-macro,4,0.001017
no-macro,5,0.001001
no-macro,6,0.000995
setup-only,0,0.000473
setup-only,1,0.000487
setup-only,2,0.000413
setup-only,3,0.000481
setup-only,4,0.000414
setup-only,5,0.000423
setup-only,6,0.000433
opcode-pull-only,0,0.000488
opcode-pull-only,1,0.000492
opcode-pull-only,2,0.000432
opcode-pull-only,3,0.000430
opcode-pull-only,4,0.000429
opcode-pull-only,5,0.000427
opcode-pull-only,6,0.000434
