variant,rep,seconds
full,0,0.001357
full,1,0.001540
full,2,0.001419
full,3,0.001296
full,4,0.001294
full,5,0.001216
full,6,0.001202
no-lit-pull,0,0.000958
no-lit-pull,1,0.001171
no-lit-pull,2,0.001104
no-lit-pull,3,0.001015
no-lit-pull,4,0.000943
no-lit-pull,5,0.000944
no-lit-pull,6,0.000944
no-copy,0,0.001158
no-copy,1,0.001374
no-copy,2,0.001358
no-copy,3,0.001235
no-copy,4,0.001160
no-copy,5,0.001185
no-copy,6,0.001167
no-macro,0,0.000893
no-macro,1,0.001016
no-macro,2,0.001009
no-macro,3,0.001101
no-macro,4,0.000835
no-macro,5,0.000831
no-macro,6,0.000964
setup-only,0,0.000465
setup-only,1,0.000487
setup-only,2,0.000479
setup-only,3,0.000574
setup-only,4,0.000399
setup-only,5,0.000400
setup-only,6,0.000451
opcode-pull-only,0,0.000472
opcode-pull-only,1,0.000580
opcode-pull-only,2,0.000569
opcode-pull-only,3,0.000545
opcode-pull-only,4,0.000477
opcode-pull-only,5,0.000473
opcode-pull-only,6,0.000476
