variant,rep,seconds
baseline,0,0.004586
baseline,1,0.004611
baseline,2,0.004779
baseline,3,0.004294
baseline,4,0.005253
baseline,5,0.004730
baseline,6,0.004789
raw:opcodes,0,0.004518
raw:opcodes,1,0.005224
raw:opcodes,2,0.004280
raw:opcodes,3,0.004620
raw:opcodes,4,0.004795
raw:opcodes,5,0.004664
raw:opcodes,6,0.005225
raw:macro-types,0,0.004819
raw:macro-types,1,0.004669
raw:macro-types,2,0.004286
raw:macro-types,3,0.004227
raw:macro-types,4,0.004866
raw:macro-types,5,0.005209
raw:macro-types,6,0.004769
raw:macro-ll,0,0.004431
raw:macro-ll,1,0.004260
raw:macro-ll,2,0.004267
raw:macro-ll,3,0.004276
raw:macro-ll,4,0.005242
raw:macro-ll,5,0.004694
raw:macro-ll,6,0.004282
raw:macro-ml,0,0.004385
raw:macro-ml,1,0.004712
raw:macro-ml,2,0.004319
raw:macro-ml,3,0.005145
raw:macro-ml,4,0.004773
raw:macro-ml,5,0.004609
raw:macro-ml,6,0.004689
raw:macro-dflags,0,0.005649
raw:macro-dflags,1,0.004563
raw:macro-dflags,2,0.004596
raw:macro-dflags,3,0.004261
raw:macro-dflags,4,0.004918
raw:macro-dflags,5,0.004272
raw:macro-dflags,6,0.004691
raw:macro-dvar,0,0.004656
raw:macro-dvar,1,0.005099
raw:macro-dvar,2,0.004211
raw:macro-dvar,3,0.004524
raw:macro-dvar,4,0.004259
raw:macro-dvar,5,0.004393
raw:macro-dvar,6,0.004378
raw:literals,0,0.004918
raw:literals,1,0.004790
raw:literals,2,0.004828
raw:literals,3,0.004642
raw:literals,4,0.004577
raw:literals,5,0.004684
raw:literals,6,0.004647
raw:macro-masks,0,0.003235
raw:macro-masks,1,0.003778
raw:macro-masks,2,0.003230
raw:macro-masks,3,0.003657
raw:macro-masks,4,0.003241
raw:macro-masks,5,0.003187
raw:macro-masks,6,0.003221
raw:macro-resid,0,0.003757
raw:macro-resid,1,0.004227
raw:macro-resid,2,0.003722
raw:macro-resid,3,0.004506
raw:macro-resid,4,0.004411
raw:macro-resid,5,0.003661
raw:macro-resid,6,0.003760
raw:opcodes+literals,0,0.004664
raw:opcodes+literals,1,0.004712
raw:opcodes+literals,2,0.004555
raw:opcodes+literals,3,0.004589
raw:opcodes+literals,4,0.005238
raw:opcodes+literals,5,0.004602
raw:opcodes+literals,6,0.004623
raw:ALL9,0,0.002444
raw:ALL9,1,0.002898
raw:ALL9,2,0.002391
raw:ALL9,3,0.002624
raw:ALL9,4,0.002594
raw:ALL9,5,0.002526
raw:ALL9,6,0.002410
