variant,rep,seconds
baseline,0,0.005623
baseline,1,0.006231
baseline,2,0.005327
baseline,3,0.005265
baseline,4,0.005343
baseline,5,0.005239
baseline,6,0.005287
raw:opcodes,0,0.005462
raw:opcodes,1,0.005649
raw:opcodes,2,0.005268
raw:opcodes,3,0.005359
raw:opcodes,4,0.005391
raw:opcodes,5,0.005392
raw:opcodes,6,0.005765
raw:macro-types,0,0.005588
raw:macro-types,1,0.005306
raw:macro-types,2,0.005425
raw:macro-types,3,0.005799
raw:macro-types,4,0.005335
raw:macro-types,5,0.005397
raw:macro-types,6,0.005372
raw:macro-ll,0,0.006247
raw:macro-ll,1,0.005353
raw:macro-ll,2,0.005753
raw:macro-ll,3,0.005313
raw:macro-ll,4,0.005383
raw:macro-ll,5,0.005619
raw:macro-ll,6,0.005264
raw:macro-ml,0,0.006153
raw:macro-ml,1,0.005591
raw:macro-ml,2,0.005327
raw:macro-ml,3,0.005438
raw:macro-ml,4,0.005441
raw:macro-ml,5,0.005440
raw:macro-ml,6,0.005720
raw:macro-dflags,0,0.006236
raw:macro-dflags,1,0.005632
raw:macro-dflags,2,0.005400
raw:macro-dflags,3,0.005611
raw:macro-dflags,4,0.005682
raw:macro-dflags,5,0.005306
raw:macro-dflags,6,0.005296
raw:macro-dvar,0,0.006388
raw:macro-dvar,1,0.005438
raw:macro-dvar,2,0.005271
raw:macro-dvar,3,0.006325
raw:macro-dvar,4,0.005315
raw:macro-dvar,5,0.005236
raw:macro-dvar,6,0.005299
raw:literals,0,0.006508
raw:literals,1,0.006225
raw:literals,2,0.005321
raw:literals,3,0.006496
raw:literals,4,0.005355
raw:literals,5,0.005324
raw:literals,6,0.005375
raw:macro-masks,0,0.005385
raw:macro-masks,1,0.006254
raw:macro-masks,2,0.005359
raw:macro-masks,3,0.005372
raw:macro-masks,4,0.005352
raw:macro-masks,5,0.005280
raw:macro-masks,6,0.005327
raw:macro-resid,0,0.005311
raw:macro-resid,1,0.005617
raw:macro-resid,2,0.005331
raw:macro-resid,3,0.005383
raw:macro-resid,4,0.005257
raw:macro-resid,5,0.005273
raw:macro-resid,6,0.005383
raw:opcodes+literals,0,0.005659
raw:opcodes+literals,1,0.005331
raw:opcodes+literals,2,0.005301
raw:opcodes+literals,3,0.005335
raw:opcodes+literals,4,0.005312
raw:opcodes+literals,5,0.005324
raw:opcodes+literals,6,0.006608
raw:ALL9,0,0.006200
raw:ALL9,1,0.005389
raw:ALL9,2,0.005404
raw:ALL9,3,0.005368
raw:ALL9,4,0.005333
raw:ALL9,5,0.005274
raw:ALL9,6,0.006090
