variant,rep,seconds
baseline,0,0.002035
baseline,1,0.001950
baseline,2,0.002111
baseline,3,0.001974
baseline,4,0.001951
baseline,5,0.002075
baseline,6,0.002277
raw:opcodes,0,0.002001
raw:opcodes,1,0.001957
raw:opcodes,2,0.001971
raw:opcodes,3,0.001966
raw:opcodes,4,0.001898
raw:opcodes,5,0.001996
raw:opcodes,6,0.002271
raw:macro-types,0,0.002001
raw:macro-types,1,0.001953
raw:macro-types,2,0.001944
raw:macro-types,3,0.001932
raw:macro-types,4,0.001928
raw:macro-types,5,0.002248
raw:macro-types,6,0.002257
raw:macro-ll,0,0.002077
raw:macro-ll,1,0.001970
raw:macro-ll,2,0.002008
raw:macro-ll,3,0.001948
raw:macro-ll,4,0.001965
raw:macro-ll,5,0.002088
raw:macro-ll,6,0.002257
raw:macro-ml,0,0.001950
raw:macro-ml,1,0.001922
raw:macro-ml,2,0.001932
raw:macro-ml,3,0.001954
raw:macro-ml,4,0.001930
raw:macro-ml,5,0.002038
raw:macro-ml,6,0.002181
raw:macro-dflags,0,0.001987
raw:macro-dflags,1,0.001958
raw:macro-dflags,2,0.002034
raw:macro-dflags,3,0.001980
raw:macro-dflags,4,0.001978
raw:macro-dflags,5,0.002000
raw:macro-dflags,6,0.001999
raw:macro-dvar,0,0.001932
raw:macro-dvar,1,0.001962
raw:macro-dvar,2,0.001901
raw:macro-dvar,3,0.001937
raw:macro-dvar,4,0.001885
raw:macro-dvar,5,0.002011
raw:macro-dvar,6,0.001965
raw:literals,0,0.001727
raw:literals,1,0.001716
raw:literals,2,0.001713
raw:literals,3,0.001730
raw:literals,4,0.001726
raw:literals,5,0.001793
raw:literals,6,0.001850
raw:macro-masks,0,0.001806
raw:macro-masks,1,0.001727
raw:macro-masks,2,0.001743
raw:macro-masks,3,0.001770
raw:macro-masks,4,0.001799
raw:macro-masks,5,0.001886
raw:macro-masks,6,0.001876
raw:macro-resid,0,0.002073
raw:macro-resid,1,0.002068
raw:macro-resid,2,0.001990
raw:macro-resid,3,0.002067
raw:macro-resid,4,0.001989
raw:macro-resid,5,0.002171
raw:macro-resid,6,0.002085
raw:opcodes+literals,0,0.001666
raw:opcodes+literals,1,0.001695
raw:opcodes+literals,2,0.001655
raw:opcodes+literals,3,0.001658
raw:opcodes+literals,4,0.001689
raw:opcodes+literals,5,0.001916
raw:opcodes+literals,6,0.001710
raw:ALL9,0,0.001332
raw:ALL9,1,0.001377
raw:ALL9,2,0.001373
raw:ALL9,3,0.001330
raw:ALL9,4,0.001417
raw:ALL9,5,0.001587
raw:ALL9,6,0.001348
