variant,rep,seconds
baseline,0,0.002194
baseline,1,0.001981
baseline,2,0.001894
baseline,3,0.002150
baseline,4,0.001893
baseline,5,0.001980
baseline,6,0.002056
raw:opcodes,0,0.001912
raw:opcodes,1,0.001943
raw:opcodes,2,0.001854
raw:opcodes,3,0.001913
raw:opcodes,4,0.001865
raw:opcodes,5,0.001895
raw:opcodes,6,0.002003
raw:macro-types,0,0.002202
raw:macro-types,1,0.001982
raw:macro-types,2,0.001922
raw:macro-types,3,0.002026
raw:macro-types,4,0.001926
raw:macro-types,5,0.001982
raw:macro-types,6,0.002026
raw:macro-ll,0,0.002222
raw:macro-ll,1,0.001986
raw:macro-ll,2,0.001975
raw:macro-ll,3,0.002043
raw:macro-ll,4,0.001995
raw:macro-ll,5,0.002057
raw:macro-ll,6,0.002033
raw:macro-ml,0,0.001898
raw:macro-ml,1,0.001940
raw:macro-ml,2,0.002152
raw:macro-ml,3,0.001981
raw:macro-ml,4,0.001925
raw:macro-ml,5,0.001955
raw:macro-ml,6,0.001969
raw:macro-dflags,0,0.001890
raw:macro-dflags,1,0.002033
raw:macro-dflags,2,0.002231
raw:macro-dflags,3,0.002000
raw:macro-dflags,4,0.001944
raw:macro-dflags,5,0.002041
raw:macro-dflags,6,0.001926
raw:macro-dvar,0,0.001921
raw:macro-dvar,1,0.001926
raw:macro-dvar,2,0.002182
raw:macro-dvar,3,0.001972
raw:macro-dvar,4,0.001873
raw:macro-dvar,5,0.001966
raw:macro-dvar,6,0.001914
raw:literals,0,0.001765
raw:literals,1,0.001710
raw:literals,2,0.001951
raw:literals,3,0.001857
raw:literals,4,0.001652
raw:literals,5,0.001762
raw:literals,6,0.001716
raw:macro-masks,0,0.001746
raw:macro-masks,1,0.001768
raw:macro-masks,2,0.001982
raw:macro-masks,3,0.001714
raw:macro-masks,4,0.001695
raw:macro-masks,5,0.001966
raw:macro-masks,6,0.001758
raw:macro-resid,0,0.002004
raw:macro-resid,1,0.001947
raw:macro-resid,2,0.002278
raw:macro-resid,3,0.001970
raw:macro-resid,4,0.001962
raw:macro-resid,5,0.002230
raw:macro-resid,6,0.001964
raw:opcodes+literals,0,0.001716
raw:opcodes+literals,1,0.001673
raw:opcodes+literals,2,0.001912
raw:opcodes+literals,3,0.001627
raw:opcodes+literals,4,0.001631
raw:opcodes+literals,5,0.001920
raw:opcodes+literals,6,0.001752
raw:ALL9,0,0.001407
raw:ALL9,1,0.001271
raw:ALL9,2,0.001572
raw:ALL9,3,0.001269
raw:ALL9,4,0.001271
raw:ALL9,5,0.001562
raw:ALL9,6,0.001360
