variant,rep,seconds
full,0,0.002222
full,1,0.002377
full,2,0.002767
full,3,0.002259
full,4,0.002235
full,5,0.002236
full,6,0.002205
no-lit-pull,0,0.002186
no-lit-pull,1,0.002389
no-lit-pull,2,0.002705
no-lit-pull,3,0.002190
no-lit-pull,4,0.002203
no-lit-pull,5,0.002186
no-lit-pull,6,0.002186
no-copy,0,0.002262
no-copy,1,0.002224
no-copy,2,0.002192
no-copy,3,0.002333
no-copy,4,0.002150
no-copy,5,0.002148
no-copy,6,0.002155
no-macro,0,0.001701
no-macro,1,0.001675
no-macro,2,0.001647
no-macro,3,0.001646
no-macro,4,0.001767
no-macro,5,0.001654
no-macro,6,0.001651
setup-only,0,0.001459
setup-only,1,0.001433
setup-only,2,0.001438
setup-only,3,0.001422
setup-only,4,0.001427
setup-only,5,0.001418
setup-only,6,0.001423
opcode-pull-only,0,0.001488
opcode-pull-only,1,0.001761
opcode-pull-only,2,0.001464
opcode-pull-only,3,0.001526
opcode-pull-only,4,0.001447
opcode-pull-only,5,0.001468
opcode-pull-only,6,0.001445
