variant,rep,seconds
full,0,0.002231
full,1,0.002206
full,2,0.002238
full,3,0.002225
full,4,0.002233
full,5,0.002219
full,6,0.002411
no-lit-pull,0,0.002207
no-lit-pull,1,0.002228
no-lit-pull,2,0.002292
no-lit-pull,3,0.002204
no-lit-pull,4,0.002193
no-lit-pull,5,0.002199
no-lit-pull,6,0.002202
no-copy,0,0.002160
no-copy,1,0.002154
no-copy,2,0.002153
no-copy,3,0.002143
no-copy,4,0.002201
no-copy,5,0.002200
no-copy,6,0.002195
no-macro,0,0.001652
no-macro,1,0.001640
no-macro,2,0.001662
no-macro,3,0.001662
no-macro,4,0.001659
no-macro,5,0.001793
no-macro,6,0.001650
setup-only,0,0.001432
setup-only,1,0.001441
setup-only,2,0.001450
setup-only,3,0.001434
setup-only,4,0.001435
setup-only,5,0.001445
setup-only,6,0.001455
opcode-pull-only,0,0.001457
opcode-pull-only,1,0.001458
opcode-pull-only,2,0.001480
opcode-pull-only,3,0.001458
opcode-pull-only,4,0.001466
opcode-pull-only,5,0.001466
opcode-pull-only,6,0.001483
