variant,rep,seconds
full,0,0.003594
full,1,0.003542
full,2,0.002635
full,3,0.003618
full,4,0.002615
full,5,0.002759
full,6,0.002598
no-lit-pull,0,0.003528
no-lit-pull,1,0.003750
no-lit-pull,2,0.002709
no-lit-pull,3,0.003517
no-lit-pull,4,0.002616
no-lit-pull,5,0.002590
no-lit-pull,6,0.002566
no-copy,0,0.003540
no-copy,1,0.003477
no-copy,2,0.002985
no-copy,3,0.003292
no-copy,4,0.002536
no-copy,5,0.002518
no-copy,6,0.002536
no-macro,0,0.002964
no-macro,1,0.002760
no-macro,2,0.002423
no-macro,3,0.002039
no-macro,4,0.002041
no-macro,5,0.002039
no-macro,6,0.002034
setup-only,0,0.002480
setup-only,1,0.001861
setup-only,2,0.002611
setup-only,3,0.001825
setup-only,4,0.001826
setup-only,5,0.001847
setup-only,6,0.001808
opcode-pull-only,0,0.002514
opcode-pull-only,1,0.001844
opcode-pull-only,2,0.002571
opcode-pull-only,3,0.001852
opcode-pull-only,4,0.001837
opcode-pull-only,5,0.001853
opcode-pull-only,6,0.001869
