variant,rep,seconds
full,0,0.001279
full,1,0.001249
full,2,0.001238
full,3,0.001268
full,4,0.001243
full,5,0.001250
full,6,0.001470
no-lit-pull,0,0.001021
no-lit-pull,1,0.001037
no-lit-pull,2,0.000996
no-lit-pull,3,0.001074
no-lit-pull,4,0.001015
no-lit-pull,5,0.001026
no-lit-pull,6,0.001121
no-copy,0,0.001245
no-copy,1,0.001273
no-copy,2,0.001214
no-copy,3,0.001273
no-copy,4,0.001254
no-copy,5,0.001248
no-copy,6,0.001346
no-macro,0,0.000922
no-macro,1,0.000911
no-macro,2,0.000908
no-macro,3,0.000945
no-macro,4,0.000934
no-macro,5,0.000936
no-macro,6,0.001025
setup-only,0,0.000390
setup-only,1,0.000386
setup-only,2,0.000390
setup-only,3,0.000402
setup-only,4,0.000388
setup-only,5,0.000402
setup-only,6,0.000393
opcode-pull-only,0,0.000439
opcode-pull-only,1,0.000424
opcode-pull-only,2,0.000441
opcode-pull-only,3,0.000424
opcode-pull-only,4,0.000426
opcode-pull-only,5,0.000465
opcode-pull-only,6,0.000424
