variant,rep,seconds
full,0,0.001245
full,1,0.001287
full,2,0.001253
full,3,0.001196
full,4,0.001151
full,5,0.001690
full,6,0.001263
no-lit-pull,0,0.000907
no-lit-pull,1,0.001031
no-lit-pull,2,0.001022
no-lit-pull,3,0.000998
no-lit-pull,4,0.000896
no-lit-pull,5,0.001187
no-lit-pull,6,0.000969
no-copy,0,0.001166
no-copy,1,0.001258
no-copy,2,0.001238
no-copy,3,0.001116
no-copy,4,0.001114
no-copy,5,0.001122
no-copy,6,0.001297
no-macro,0,0.000970
no-macro,1,0.000913
no-macro,2,0.000897
no-macro,3,0.000808
no-macro,4,0.000795
no-macro,5,0.000889
no-macro,6,0.000944
setup-only,0,0.000408
setup-only,1,0.000414
setup-only,2,0.000357
setup-only,3,0.000364
setup-only,4,0.000354
setup-only,5,0.000459
setup-only,6,0.000419
opcode-pull-only,0,0.000434
opcode-pull-only,1,0.000433
opcode-pull-only,2,0.000433
opcode-pull-only,3,0.000437
opcode-pull-only,4,0.000462
opcode-pull-only,5,0.000440
opcode-pull-only,6,0.000439
