variant,rep,seconds
full,0,0.001399
full,1,0.001358
full,2,0.001200
full,3,0.001233
full,4,0.001190
full,5,0.001273
full,6,0.001253
no-lit-pull,0,0.001011
no-lit-pull,1,0.001275
no-lit-pull,2,0.000932
no-lit-pull,3,0.001075
no-lit-pull,4,0.000936
no-lit-pull,5,0.000966
no-lit-pull,6,0.000935
no-copy,0,0.001241
no-copy,1,0.001302
no-copy,2,0.001200
no-copy,3,0.001155
no-copy,4,0.001148
no-copy,5,0.001252
no-copy,6,0.001153
no-macro,0,0.000899
no-macro,1,0.000836
no-macro,2,0.000942
no-macro,3,0.000837
no-macro,4,0.000835
no-macro,5,0.000833
no-macro,6,0.000870
setup-only,0,0.000439
setup-only,1,0.000393
setup-only,2,0.000394
setup-only,3,0.000391
setup-only,4,0.000426
setup-only,5,0.000430
setup-only,6,0.000506
opcode-pull-only,0,0.000507
opcode-pull-only,1,0.000494
opcode-pull-only,2,0.000474
opcode-pull-only,3,0.000512
opcode-pull-only,4,0.000537
opcode-pull-only,5,0.000542
opcode-pull-only,6,0.000478
