variant,rep,seconds
baseline,0,0.002573
baseline,1,0.002575
baseline,2,0.002904
baseline,3,0.002278
baseline,4,0.002914
baseline,5,0.002579
baseline,6,0.002290
raw:opcodes,0,0.002346
raw:opcodes,1,0.002257
raw:opcodes,2,0.003281
raw:opcodes,3,0.002702
raw:opcodes,4,0.002289
raw:opcodes,5,0.002308
raw:opcodes,6,0.002547
raw:macro-types,0,0.002564
raw:macro-types,1,0.003022
raw:macro-types,2,0.002294
raw:macro-types,3,0.002273
raw:macro-types,4,0.002634
raw:macro-types,5,0.002555
raw:macro-types,6,0.002967
raw:macro-ll,0,0.002396
raw:macro-ll,1,0.002916
raw:macro-ll,2,0.002622
raw:macro-ll,3,0.002688
raw:macro-ll,4,0.002340
raw:macro-ll,5,0.002274
raw:macro-ll,6,0.003334
raw:macro-ml,0,0.002870
raw:macro-ml,1,0.003011
raw:macro-ml,2,0.002208
raw:macro-ml,3,0.002217
raw:macro-ml,4,0.002598
raw:macro-ml,5,0.002504
raw:macro-ml,6,0.002819
raw:macro-dflags,0,0.002525
raw:macro-dflags,1,0.002294
raw:macro-dflags,2,0.002654
raw:macro-dflags,3,0.002553
raw:macro-dflags,4,0.002280
raw:macro-dflags,5,0.002244
raw:macro-dflags,6,0.003452
raw:macro-dvar,0,0.002862
raw:macro-dvar,1,0.002483
raw:macro-dvar,2,0.002204
raw:macro-dvar,3,0.002187
raw:macro-dvar,4,0.002583
raw:macro-dvar,5,0.002790
raw:macro-dvar,6,0.002758
raw:literals,0,0.002528
raw:literals,1,0.002268
raw:literals,2,0.002633
raw:literals,3,0.002563
raw:literals,4,0.002275
raw:literals,5,0.002300
raw:literals,6,0.002653
raw:macro-masks,0,0.002006
raw:macro-masks,1,0.002062
raw:macro-masks,2,0.001650
raw:macro-masks,3,0.001633
raw:macro-masks,4,0.002030
raw:macro-masks,5,0.001909
raw:macro-masks,6,0.001804
raw:macro-resid,0,0.001775
raw:macro-resid,1,0.002621
raw:macro-resid,2,0.001964
raw:macro-resid,3,0.001708
raw:macro-resid,4,0.001687
raw:macro-resid,5,0.001714
raw:macro-resid,6,0.002224
raw:opcodes+literals,0,0.002636
raw:opcodes+literals,1,0.003058
raw:opcodes+literals,2,0.002264
raw:opcodes+literals,3,0.002786
raw:opcodes+literals,4,0.002620
raw:opcodes+literals,5,0.002247
raw:opcodes+literals,6,0.002452
raw:ALL9,0,0.000837
raw:ALL9,1,0.001663
raw:ALL9,2,0.001148
raw:ALL9,3,0.000867
raw:ALL9,4,0.000966
raw:ALL9,5,0.000829
raw:ALL9,6,0.001211
