variant,rep,seconds
baseline,0,0.002922
baseline,1,0.002285
baseline,2,0.003349
baseline,3,0.002578
baseline,4,0.002272
baseline,5,0.002285
baseline,6,0.002903
raw:opcodes,0,0.003272
raw:opcodes,1,0.002559
raw:opcodes,2,0.002907
raw:opcodes,3,0.002288
raw:opcodes,4,0.002253
raw:opcodes,5,0.002563
raw:opcodes,6,0.003259
raw:macro-types,0,0.002345
raw:macro-types,1,0.002257
raw:macro-types,2,0.002395
raw:macro-types,3,0.002535
raw:macro-types,4,0.002672
raw:macro-types,5,0.002248
raw:macro-types,6,0.002881
raw:macro-ll,0,0.002283
raw:macro-ll,1,0.002576
raw:macro-ll,2,0.002579
raw:macro-ll,3,0.002278
raw:macro-ll,4,0.002293
raw:macro-ll,5,0.002290
raw:macro-ll,6,0.002828
raw:macro-ml,0,0.002630
raw:macro-ml,1,0.002219
raw:macro-ml,2,0.002260
raw:macro-ml,3,0.002234
raw:macro-ml,4,0.002746
raw:macro-ml,5,0.002617
raw:macro-ml,6,0.002335
raw:macro-dflags,0,0.002247
raw:macro-dflags,1,0.002278
raw:macro-dflags,2,0.002539
raw:macro-dflags,3,0.002519
raw:macro-dflags,4,0.002244
raw:macro-dflags,5,0.002423
raw:macro-dflags,6,0.002681
raw:macro-dvar,0,0.002501
raw:macro-dvar,1,0.002558
raw:macro-dvar,2,0.002213
raw:macro-dvar,3,0.002242
raw:macro-dvar,4,0.002521
raw:macro-dvar,5,0.002601
raw:macro-dvar,6,0.002220
raw:literals,0,0.002256
raw:literals,1,0.002285
raw:literals,2,0.002570
raw:literals,3,0.002581
raw:literals,4,0.002292
raw:literals,5,0.002269
raw:literals,6,0.002264
raw:macro-masks,0,0.001934
raw:macro-masks,1,0.001899
raw:macro-masks,2,0.001631
raw:macro-masks,3,0.001632
raw:macro-masks,4,0.001634
raw:macro-masks,5,0.001898
raw:macro-masks,6,0.001958
raw:macro-resid,0,0.001696
raw:macro-resid,1,0.001746
raw:macro-resid,2,0.001835
raw:macro-resid,3,0.001988
raw:macro-resid,4,0.002049
raw:macro-resid,5,0.001693
raw:macro-resid,6,0.001732
raw:opcodes+literals,0,0.002262
raw:opcodes+literals,1,0.002925
raw:opcodes+literals,2,0.002519
raw:opcodes+literals,3,0.002243
raw:opcodes+literals,4,0.002293
raw:opcodes+literals,5,0.002581
raw:opcodes+literals,6,0.002618
raw:ALL9,0,0.001106
raw:ALL9,1,0.001186
raw:ALL9,2,0.000883
raw:ALL9,3,0.001115
raw:ALL9,4,0.001197
raw:ALL9,5,0.001531
raw:ALL9,6,0.000868
