variant,rep,seconds
baseline,0,0.002706
baseline,1,0.003003
baseline,2,0.003776
baseline,3,0.002802
baseline,4,0.002714
baseline,5,0.002743
baseline,6,0.002994
raw:opcodes,0,0.003095
raw:opcodes,1,0.003090
raw:opcodes,2,0.004205
raw:opcodes,3,0.002965
raw:opcodes,4,0.003053
raw:opcodes,5,0.003020
raw:opcodes,6,0.002687
raw:macro-types,0,0.003137
raw:macro-types,1,0.002688
raw:macro-types,2,0.004118
raw:macro-types,3,0.003141
raw:macro-types,4,0.002976
raw:macro-types,5,0.002641
raw:macro-types,6,0.002957
raw:macro-ll,0,0.003068
raw:macro-ll,1,0.002960
raw:macro-ll,2,0.002937
raw:macro-ll,3,0.003688
raw:macro-ll,4,0.002669
raw:macro-ll,5,0.002964
raw:macro-ll,6,0.002979
raw:macro-ml,0,0.002598
raw:macro-ml,1,0.002973
raw:macro-ml,2,0.003077
raw:macro-ml,3,0.004183
raw:macro-ml,4,0.002930
raw:macro-ml,5,0.002961
raw:macro-ml,6,0.003039
raw:macro-dflags,0,0.003034
raw:macro-dflags,1,0.002984
raw:macro-dflags,2,0.003060
raw:macro-dflags,3,0.003385
raw:macro-dflags,4,0.002968
raw:macro-dflags,5,0.002641
raw:macro-dflags,6,0.002662
raw:macro-dvar,0,0.002904
raw:macro-dvar,1,0.002657
raw:macro-dvar,2,0.002622
raw:macro-dvar,3,0.002588
raw:macro-dvar,4,0.002645
raw:macro-dvar,5,0.003042
raw:macro-dvar,6,0.002928
raw:literals,0,0.002989
raw:literals,1,0.003056
raw:literals,2,0.003008
raw:literals,3,0.003058
raw:literals,4,0.002973
raw:literals,5,0.003024
raw:literals,6,0.002943
raw:macro-masks,0,0.001609
raw:macro-masks,1,0.002150
raw:macro-masks,2,0.002101
raw:macro-masks,3,0.001903
raw:macro-masks,4,0.001903
raw:macro-masks,5,0.001880
raw:macro-masks,6,0.001633
raw:macro-resid,0,0.002387
raw:macro-resid,1,0.002149
raw:macro-resid,2,0.002159
raw:macro-resid,3,0.002250
raw:macro-resid,4,0.002100
raw:macro-resid,5,0.002097
raw:macro-resid,6,0.002412
raw:opcodes+literals,0,0.002961
raw:opcodes+literals,1,0.003206
raw:opcodes+literals,2,0.002948
raw:opcodes+literals,3,0.002967
raw:opcodes+literals,4,0.002977
raw:opcodes+literals,5,0.002924
raw:opcodes+literals,6,0.002984
raw:ALL9,0,0.000906
raw:ALL9,1,0.001773
raw:ALL9,2,0.001129
raw:ALL9,3,0.001137
raw:ALL9,4,0.001235
raw:ALL9,5,0.000831
raw:ALL9,6,0.000834
