variant,rep,seconds
baseline,0,0.003817
baseline,1,0.003750
baseline,2,0.005512
baseline,3,0.005231
baseline,4,0.004233
baseline,5,0.003748
baseline,6,0.003746
raw:opcodes,0,0.003769
raw:opcodes,1,0.003724
raw:opcodes,2,0.005770
raw:opcodes,3,0.004848
raw:opcodes,4,0.003785
raw:opcodes,5,0.003753
raw:opcodes,6,0.003778
raw:macro-types,0,0.004099
raw:macro-types,1,0.003909
raw:macro-types,2,0.004644
raw:macro-types,3,0.004081
raw:macro-types,4,0.003795
raw:macro-types,5,0.003747
raw:macro-types,6,0.004098
raw:macro-ll,0,0.003783
raw:macro-ll,1,0.004123
raw:macro-ll,2,0.003845
raw:macro-ll,3,0.003799
raw:macro-ll,4,0.004167
raw:macro-ll,5,0.003887
raw:macro-ll,6,0.003874
raw:macro-ml,0,0.004223
raw:macro-ml,1,0.003875
raw:macro-ml,2,0.003751
raw:macro-ml,3,0.004056
raw:macro-ml,4,0.003752
raw:macro-ml,5,0.004802
raw:macro-ml,6,0.003774
raw:macro-dflags,0,0.003834
raw:macro-dflags,1,0.004127
raw:macro-dflags,2,0.003824
raw:macro-dflags,3,0.003864
raw:macro-dflags,4,0.003766
raw:macro-dflags,5,0.005252
raw:macro-dflags,6,0.003786
raw:macro-dvar,0,0.003916
raw:macro-dvar,1,0.003787
raw:macro-dvar,2,0.004169
raw:macro-dvar,3,0.003801
raw:macro-dvar,4,0.003765
raw:macro-dvar,5,0.005728
raw:macro-dvar,6,0.003839
raw:literals,0,0.004148
raw:literals,1,0.003758
raw:literals,2,0.003782
raw:literals,3,0.003737
raw:literals,4,0.003889
raw:literals,5,0.005209
raw:literals,6,0.004131
raw:macro-masks,0,0.003874
raw:macro-masks,1,0.003802
raw:macro-masks,2,0.003911
raw:macro-masks,3,0.003798
raw:macro-masks,4,0.004082
raw:macro-masks,5,0.004861
raw:macro-masks,6,0.003784
raw:macro-resid,0,0.003848
raw:macro-resid,1,0.003741
raw:macro-resid,2,0.004109
raw:macro-resid,3,0.003805
raw:macro-resid,4,0.003766
raw:macro-resid,5,0.003756
raw:macro-resid,6,0.003933
raw:opcodes+literals,0,0.003765
raw:opcodes+literals,1,0.004112
raw:opcodes+literals,2,0.004336
raw:opcodes+literals,3,0.003776
raw:opcodes+literals,4,0.003764
raw:opcodes+literals,5,0.003804
raw:opcodes+literals,6,0.004278
raw:ALL9,0,0.003898
raw:ALL9,1,0.003954
raw:ALL9,2,0.005956
raw:ALL9,3,0.003791
raw:ALL9,4,0.004140
raw:ALL9,5,0.004242
raw:ALL9,6,0.003749
