variant,rep,seconds
baseline,0,0.001591
baseline,1,0.001435
baseline,2,0.001406
baseline,3,0.001413
baseline,4,0.001948
baseline,5,0.001489
baseline,6,0.001523
raw:opcodes,0,0.001630
raw:opcodes,1,0.001370
raw:opcodes,2,0.001385
raw:opcodes,3,0.001406
raw:opcodes,4,0.001889
raw:opcodes,5,0.001358
raw:opcodes,6,0.001354
raw:macro-types,0,0.001708
raw:macro-types,1,0.001409
raw:macro-types,2,0.001394
raw:macro-types,3,0.001406
raw:macro-types,4,0.001519
raw:macro-types,5,0.001430
raw:macro-types,6,0.001408
raw:macro-ll,0,0.001755
raw:macro-ll,1,0.001427
raw:macro-ll,2,0.001428
raw:macro-ll,3,0.001399
raw:macro-ll,4,0.001564
raw:macro-ll,5,0.001394
raw:macro-ll,6,0.001422
raw:macro-ml,0,0.001625
raw:macro-ml,1,0.001396
raw:macro-ml,2,0.001379
raw:macro-ml,3,0.001377
raw:macro-ml,4,0.001431
raw:macro-ml,5,0.001355
raw:macro-ml,6,0.001375
raw:macro-dflags,0,0.001599
raw:macro-dflags,1,0.001398
raw:macro-dflags,2,0.001448
raw:macro-dflags,3,0.002044
raw:macro-dflags,4,0.001456
raw:macro-dflags,5,0.001365
raw:macro-dflags,6,0.001396
raw:macro-dvar,0,0.001606
raw:macro-dvar,1,0.001503
raw:macro-dvar,2,0.001422
raw:macro-dvar,3,0.002021
raw:macro-dvar,4,0.001393
raw:macro-dvar,5,0.001371
raw:macro-dvar,6,0.001394
raw:literals,0,0.001416
raw:literals,1,0.001198
raw:literals,2,0.001229
raw:literals,3,0.001732
raw:literals,4,0.001192
raw:literals,5,0.001142
raw:literals,6,0.001159
raw:macro-masks,0,0.001393
raw:macro-masks,1,0.001207
raw:macro-masks,2,0.001223
raw:macro-masks,3,0.001781
raw:macro-masks,4,0.001194
raw:macro-masks,5,0.001186
raw:macro-masks,6,0.001202
raw:macro-resid,0,0.001605
raw:macro-resid,1,0.001423
raw:macro-resid,2,0.001428
raw:macro-resid,3,0.002099
raw:macro-resid,4,0.001397
raw:macro-resid,5,0.001401
raw:macro-resid,6,0.001405
raw:opcodes+literals,0,0.001323
raw:opcodes+literals,1,0.001140
raw:opcodes+literals,2,0.001126
raw:opcodes+literals,3,0.001565
raw:opcodes+literals,4,0.001116
raw:opcodes+literals,5,0.001117
raw:opcodes+literals,6,0.001107
raw:ALL9,0,0.000891
raw:ALL9,1,0.000758
raw:ALL9,2,0.000768
raw:ALL9,3,0.001127
raw:ALL9,4,0.000759
raw:ALL9,5,0.000789
raw:ALL9,6,0.000874
