variant,rep,seconds
baseline,0,0.001447
baseline,1,0.001389
baseline,2,0.001407
baseline,3,0.001468
baseline,4,0.001406
baseline,5,0.001412
baseline,6,0.001367
raw:opcodes,0,0.001371
raw:opcodes,1,0.001370
raw:opcodes,2,0.001380
raw:opcodes,3,0.001389
raw:opcodes,4,0.001313
raw:opcodes,5,0.001452
raw:opcodes,6,0.001294
raw:macro-types,0,0.001368
raw:macro-types,1,0.001409
raw:macro-types,2,0.001395
raw:macro-types,3,0.001416
raw:macro-types,4,0.001357
raw:macro-types,5,0.001410
raw:macro-types,6,0.001354
raw:macro-ll,0,0.001420
raw:macro-ll,1,0.001403
raw:macro-ll,2,0.001411
raw:macro-ll,3,0.001388
raw:macro-ll,4,0.001366
raw:macro-ll,5,0.001471
raw:macro-ll,6,0.001408
raw:macro-ml,0,0.001412
raw:macro-ml,1,0.001406
raw:macro-ml,2,0.001349
raw:macro-ml,3,0.001348
raw:macro-ml,4,0.001321
raw:macro-ml,5,0.001380
raw:macro-ml,6,0.001411
raw:macro-dflags,0,0.001320
raw:macro-dflags,1,0.001391
raw:macro-dflags,2,0.001335
raw:macro-dflags,3,0.001341
raw:macro-dflags,4,0.001378
raw:macro-dflags,5,0.001429
raw:macro-dflags,6,0.001418
raw:macro-dvar,0,0.001322
raw:macro-dvar,1,0.001319
raw:macro-dvar,2,0.001329
raw:macro-dvar,3,0.001326
raw:macro-dvar,4,0.001395
raw:macro-dvar,5,0.001464
raw:macro-dvar,6,0.001393
raw:literals,0,0.001197
raw:literals,1,0.001152
raw:literals,2,0.001159
raw:literals,3,0.001218
raw:literals,4,0.001297
raw:literals,5,0.001186
raw:literals,6,0.001183
raw:macro-masks,0,0.001194
raw:macro-masks,1,0.001186
raw:macro-masks,2,0.001174
raw:macro-masks,3,0.001181
raw:macro-masks,4,0.001370
raw:macro-masks,5,0.001242
raw:macro-masks,6,0.001207
raw:macro-resid,0,0.001397
raw:macro-resid,1,0.001398
raw:macro-resid,2,0.001375
raw:macro-resid,3,0.001495
raw:macro-resid,4,0.001474
raw:macro-resid,5,0.001402
raw:macro-resid,6,0.001367
raw:opcodes+literals,0,0.001099
raw:opcodes+literals,1,0.001107
raw:opcodes+literals,2,0.001072
raw:opcodes+literals,3,0.001164
raw:opcodes+literals,4,0.001122
raw:opcodes+literals,5,0.001104
raw:opcodes+literals,6,0.001045
raw:ALL9,0,0.000816
raw:ALL9,1,0.000755
raw:ALL9,2,0.000806
raw:ALL9,3,0.000851
raw:ALL9,4,0.000865
raw:ALL9,5,0.000782
raw:ALL9,6,0.000727
