variant,rep,seconds
baseline,0,0.001289
baseline,1,0.001424
baseline,2,0.001280
baseline,3,0.001240
baseline,4,0.001496
baseline,5,0.001681
baseline,6,0.001974
raw:opcodes,0,0.001389
raw:opcodes,1,0.001368
raw:opcodes,2,0.001458
raw:opcodes,3,0.001386
raw:opcodes,4,0.002226
raw:opcodes,5,0.001221
raw:opcodes,6,0.002113
raw:macro-types,0,0.001498
raw:macro-types,1,0.001574
raw:macro-types,2,0.001428
raw:macro-types,3,0.001372
raw:macro-types,4,0.001922
raw:macro-types,5,0.001640
raw:macro-types,6,0.002271
raw:macro-ll,0,0.001473
raw:macro-ll,1,0.001512
raw:macro-ll,2,0.001480
raw:macro-ll,3,0.001216
raw:macro-ll,4,0.002236
raw:macro-ll,5,0.001628
raw:macro-ll,6,0.002238
raw:macro-ml,0,0.001461
raw:macro-ml,1,0.001660
raw:macro-ml,2,0.001412
raw:macro-ml,3,0.001383
raw:macro-ml,4,0.002188
raw:macro-ml,5,0.001536
raw:macro-ml,6,0.001584
raw:macro-dflags,0,0.001490
raw:macro-dflags,1,0.001493
raw:macro-dflags,2,0.001431
raw:macro-dflags,3,0.001384
raw:macro-dflags,4,0.002222
raw:macro-dflags,5,0.001486
raw:macro-dflags,6,0.001489
raw:macro-dvar,0,0.001399
raw:macro-dvar,1,0.001479
raw:macro-dvar,2,0.001405
raw:macro-dvar,3,0.001384
raw:macro-dvar,4,0.002170
raw:macro-dvar,5,0.001435
raw:macro-dvar,6,0.001226
raw:literals,0,0.001197
raw:literals,1,0.001262
raw:literals,2,0.001214
raw:literals,3,0.001231
raw:literals,4,0.001635
raw:literals,5,0.001294
raw:literals,6,0.001238
raw:macro-masks,0,0.001146
raw:macro-masks,1,0.001178
raw:macro-masks,2,0.001229
raw:macro-masks,3,0.001414
raw:macro-masks,4,0.001046
raw:macro-masks,5,0.001778
raw:macro-masks,6,0.001204
raw:macro-resid,0,0.001417
raw:macro-resid,1,0.001306
raw:macro-resid,2,0.001236
raw:macro-resid,3,0.001426
raw:macro-resid,4,0.001568
raw:macro-resid,5,0.002243
raw:macro-resid,6,0.001276
raw:opcodes+literals,0,0.001161
raw:opcodes+literals,1,0.001138
raw:opcodes+literals,2,0.001138
raw:opcodes+literals,3,0.001293
raw:opcodes+literals,4,0.001282
raw:opcodes+literals,5,0.001474
raw:opcodes+literals,6,0.001192
raw:ALL9,0,0.000768
raw:ALL9,1,0.000741
raw:ALL9,2,0.000728
raw:ALL9,3,0.000867
raw:ALL9,4,0.000671
raw:ALL9,5,0.001174
raw:ALL9,6,0.000766
