variant,rep,seconds
full10,0,0.002934
full10,1,0.002738
full10,2,0.003078
full10,3,0.002865
full10,4,0.002722
full10,5,0.002701
full10,6,0.002872
setup-only10,0,0.001970
setup-only10,1,0.001904
setup-only10,2,0.001995
setup-only10,3,0.001929
setup-only10,4,0.001886
setup-only10,5,0.001886
setup-only10,6,0.001950
no-lit-pull10,0,0.002513
no-lit-pull10,1,0.002498
no-lit-pull10,2,0.002889
no-lit-pull10,3,0.002574
no-lit-pull10,4,0.002577
no-lit-pull10,5,0.002506
no-lit-pull10,6,0.002607
no-copy10,0,0.002582
no-copy10,1,0.002984
no-copy10,2,0.002896
no-copy10,3,0.002887
no-copy10,4,0.002646
no-copy10,5,0.002689
no-copy10,6,0.002759
