variant,rep,seconds
full,0,0.002261
full,1,0.002203
full,2,0.002213
full,3,0.002222
full,4,0.002239
full,5,0.002214
full,6,0.002221
no-lit-pull,0,0.002216
no-lit-pull,1,0.002193
no-lit-pull,2,0.002186
no-lit-pull,3,0.002174
no-lit-pull,4,0.002215
no-lit-pull,5,0.002192
no-lit-pull,6,0.002203
no-copy,0,0.002148
no-copy,1,0.002141
no-copy,2,0.002162
no-copy,3,0.002142
no-copy,4,0.002155
no-copy,5,0.002281
no-copy,6,0.002177
no-macro,0,0.001631
no-macro,1,0.001640
no-macro,2,0.001655
no-macro,3,0.001641
no-macro,4,0.001960
no-macro,5,0.001664
no-macro,6,0.001625
setup-only,0,0.001422
setup-only,1,0.001419
setup-only,2,0.001425
setup-only,3,0.001421
setup-only,4,0.001426
setup-only,5,0.001412
setup-only,6,0.001420
opcode-pull-only,0,0.001442
opcode-pull-only,1,0.001438
opcode-pull-only,2,0.001471
opcode-pull-only,3,0.001454
opcode-pull-only,4,0.001472
opcode-pull-only,5,0.001454
opcode-pull-only,6,0.001463
