variant,rep,seconds
full,0,0.002238
full,1,0.002298
full,2,0.002234
full,3,0.002233
full,4,0.002255
full,5,0.002223
full,6,0.002254
no-lit-pull,0,0.002221
no-lit-pull,1,0.002287
no-lit-pull,2,0.002192
no-lit-pull,3,0.002195
no-lit-pull,4,0.002246
no-lit-pull,5,0.002188
no-lit-pull,6,0.002197
no-copy,0,0.002168
no-copy,1,0.002163
no-copy,2,0.002159
no-copy,3,0.002220
no-copy,4,0.002176
no-copy,5,0.002180
no-copy,6,0.002165
no-macro,0,0.001652
no-macro,1,0.001642
no-macro,2,0.001642
no-macro,3,0.001649
no-macro,4,0.001661
no-macro,5,0.001653
no-macro,6,0.001767
setup-only,0,0.001453
setup-only,1,0.001442
setup-only,2,0.001448
setup-only,3,0.001447
setup-only,4,0.001446
setup-only,5,0.001440
setup-only,6,0.001434
opcode-pull-only,0,0.001460
opcode-pull-only,1,0.001475
opcode-pull-only,2,0.001461
opcode-pull-only,3,0.001468
opcode-pull-only,4,0.001486
opcode-pull-only,5,0.001465
opcode-pull-only,6,0.001476
