variant,rep,seconds
full,0,0.001646
full,1,0.001653
full,2,0.001240
full,3,0.001161
full,4,0.001233
full,5,0.001153
full,6,0.001194
no-lit-pull,0,0.001458
no-lit-pull,1,0.001436
no-lit-pull,2,0.000901
no-lit-pull,3,0.000908
no-lit-pull,4,0.000893
no-lit-pull,5,0.000893
no-lit-pull,6,0.001060
no-copy,0,0.001699
no-copy,1,0.001632
no-copy,2,0.001123
no-copy,3,0.001125
no-copy,4,0.001120
no-copy,5,0.001123
no-copy,6,0.001289
no-macro,0,0.001065
no-macro,1,0.001006
no-macro,2,0.000803
no-macro,3,0.000852
no-macro,4,0.000836
no-macro,5,0.000811
no-macro,6,0.000913
setup-only,0,0.000460
setup-only,1,0.000446
setup-only,2,0.000353
setup-only,3,0.000409
setup-only,4,0.000362
setup-only,5,0.000354
setup-only,6,0.000361
opcode-pull-only,0,0.000548
opcode-pull-only,1,0.000433
opcode-pull-only,2,0.000426
opcode-pull-only,3,0.000429
opcode-pull-only,4,0.000425
opcode-pull-only,5,0.000423
opcode-pull-only,6,0.000429
