variant,rep,seconds
baseline,0,0.002304
baseline,1,0.002621
baseline,2,0.002642
baseline,3,0.002289
baseline,4,0.002286
baseline,5,0.002855
baseline,6,0.002686
raw:opcodes,0,0.002266
raw:opcodes,1,0.002271
raw:opcodes,2,0.002316
raw:opcodes,3,0.002611
raw:opcodes,4,0.002325
raw:opcodes,5,0.002837
raw:opcodes,6,0.002284
raw:macro-types,0,0.002242
raw:macro-types,1,0.002256
raw:macro-types,2,0.002248
raw:macro-types,3,0.002257
raw:macro-types,4,0.002633
raw:macro-types,5,0.002851
raw:macro-types,6,0.002245
raw:macro-ll,0,0.002861
raw:macro-ll,1,0.002379
raw:macro-ll,2,0.002283
raw:macro-ll,3,0.002801
raw:macro-ll,4,0.002331
raw:macro-ll,5,0.003355
raw:macro-ll,6,0.002265
raw:macro-ml,0,0.002280
raw:macro-ml,1,0.002528
raw:macro-ml,2,0.002216
raw:macro-ml,3,0.002793
raw:macro-ml,4,0.002214
raw:macro-ml,5,0.002608
raw:macro-ml,6,0.002552
raw:macro-dflags,0,0.002269
raw:macro-dflags,1,0.002286
raw:macro-dflags,2,0.002665
raw:macro-dflags,3,0.002852
raw:macro-dflags,4,0.002239
raw:macro-dflags,5,0.002294
raw:macro-dflags,6,0.002252
raw:macro-dvar,0,0.002197
raw:macro-dvar,1,0.002235
raw:macro-dvar,2,0.002210
raw:macro-dvar,3,0.003204
raw:macro-dvar,4,0.002531
raw:macro-dvar,5,0.002215
raw:macro-dvar,6,0.002209
raw:literals,0,0.002526
raw:literals,1,0.002332
raw:literals,2,0.002300
raw:literals,3,0.002871
raw:literals,4,0.002263
raw:literals,5,0.002692
raw:literals,6,0.002278
raw:macro-masks,0,0.001627
raw:macro-masks,1,0.001946
raw:macro-masks,2,0.001656
raw:macro-masks,3,0.001839
raw:macro-masks,4,0.001625
raw:macro-masks,5,0.001632
raw:macro-masks,6,0.001956
raw:macro-resid,0,0.001700
raw:macro-resid,1,0.001703
raw:macro-resid,2,0.002166
raw:macro-resid,3,0.001714
raw:macro-resid,4,0.001711
raw:macro-resid,5,0.001699
raw:macro-resid,6,0.001732
raw:opcodes+literals,0,0.002305
raw:opcodes+literals,1,0.002256
raw:opcodes+literals,2,0.002291
raw:opcodes+literals,3,0.002567
raw:opcodes+literals,4,0.002266
raw:opcodes+literals,5,0.002263
raw:opcodes+literals,6,0.002234
raw:ALL9,0,0.000832
raw:ALL9,1,0.000829
raw:ALL9,2,0.000873
raw:ALL9,3,0.000837
raw:ALL9,4,0.001631
raw:ALL9,5,0.000827
raw:ALL9,6,0.000828
