variant,rep,seconds
baseline,0,0.002671
baseline,1,0.002818
baseline,2,0.002743
baseline,3,0.002663
baseline,4,0.002705
baseline,5,0.002653
baseline,6,0.002727
raw:opcodes,0,0.003220
raw:opcodes,1,0.003584
raw:opcodes,2,0.003043
raw:opcodes,3,0.003045
raw:opcodes,4,0.003048
raw:opcodes,5,0.002642
raw:opcodes,6,0.002650
raw:macro-types,0,0.002748
raw:macro-types,1,0.003145
raw:macro-types,2,0.002854
raw:macro-types,3,0.002647
raw:macro-types,4,0.002640
raw:macro-types,5,0.003099
raw:macro-types,6,0.003091
raw:macro-ll,0,0.003375
raw:macro-ll,1,0.003594
raw:macro-ll,2,0.003204
raw:macro-ll,3,0.002729
raw:macro-ll,4,0.002790
raw:macro-ll,5,0.003088
raw:macro-ll,6,0.002863
raw:macro-ml,0,0.003129
raw:macro-ml,1,0.002997
raw:macro-ml,2,0.002654
raw:macro-ml,3,0.002597
raw:macro-ml,4,0.002971
raw:macro-ml,5,0.003274
raw:macro-ml,6,0.003513
raw:macro-dflags,0,0.003665
raw:macro-dflags,1,0.003169
raw:macro-dflags,2,0.003083
raw:macro-dflags,3,0.002635
raw:macro-dflags,4,0.002660
raw:macro-dflags,5,0.002744
raw:macro-dflags,6,0.002796
raw:macro-dvar,0,0.002869
raw:macro-dvar,1,0.002665
raw:macro-dvar,2,0.002652
raw:macro-dvar,3,0.002995
raw:macro-dvar,4,0.002983
raw:macro-dvar,5,0.002971
raw:macro-dvar,6,0.002985
raw:literals,0,0.003226
raw:literals,1,0.003717
raw:literals,2,0.002640
raw:literals,3,0.002647
raw:literals,4,0.002655
raw:literals,5,0.002666
raw:literals,6,0.002675
raw:macro-masks,0,0.001658
raw:macro-masks,1,0.001894
raw:macro-masks,2,0.001939
raw:macro-masks,3,0.001974
raw:macro-masks,4,0.001649
raw:macro-masks,5,0.001931
raw:macro-masks,6,0.001639
raw:macro-resid,0,0.002532
raw:macro-resid,1,0.002457
raw:macro-resid,2,0.002282
raw:macro-resid,3,0.002268
raw:macro-resid,4,0.002155
raw:macro-resid,5,0.002189
raw:macro-resid,6,0.002490
raw:opcodes+literals,0,0.003479
raw:opcodes+literals,1,0.003202
raw:opcodes+literals,2,0.003181
raw:opcodes+literals,3,0.002646
raw:opcodes+literals,4,0.002617
raw:opcodes+literals,5,0.002643
raw:opcodes+literals,6,0.003076
raw:ALL9,0,0.000964
raw:ALL9,1,0.000865
raw:ALL9,2,0.000852
raw:ALL9,3,0.001164
raw:ALL9,4,0.000835
raw:ALL9,5,0.001189
raw:ALL9,6,0.001347
