variant,rep,seconds
baseline,0,0.001435
baseline,1,0.001501
baseline,2,0.001719
baseline,3,0.001484
baseline,4,0.001383
baseline,5,0.001400
baseline,6,0.001417
raw:opcodes,0,0.001384
raw:opcodes,1,0.001386
raw:opcodes,2,0.001706
raw:opcodes,3,0.001375
raw:opcodes,4,0.001337
raw:opcodes,5,0.001356
raw:opcodes,6,0.001360
raw:macro-types,0,0.001411
raw:macro-types,1,0.001419
raw:macro-types,2,0.001713
raw:macro-types,3,0.001409
raw:macro-types,4,0.001371
raw:macro-types,5,0.001385
raw:macro-types,6,0.001436
raw:macro-ll,0,0.001425
raw:macro-ll,1,0.001431
raw:macro-ll,2,0.001735
raw:macro-ll,3,0.001450
raw:macro-ll,4,0.001407
raw:macro-ll,5,0.001386
raw:macro-ll,6,0.001467
raw:macro-ml,0,0.001417
raw:macro-ml,1,0.001401
raw:macro-ml,2,0.001695
raw:macro-ml,3,0.001419
raw:macro-ml,4,0.001430
raw:macro-ml,5,0.001451
raw:macro-ml,6,0.001409
raw:macro-dflags,0,0.001455
raw:macro-dflags,1,0.001538
raw:macro-dflags,2,0.001478
raw:macro-dflags,3,0.001645
raw:macro-dflags,4,0.001421
raw:macro-dflags,5,0.001392
raw:macro-dflags,6,0.001493
raw:macro-dvar,0,0.001409
raw:macro-dvar,1,0.001431
raw:macro-dvar,2,0.001384
raw:macro-dvar,3,0.001377
raw:macro-dvar,4,0.001349
raw:macro-dvar,5,0.001379
raw:macro-dvar,6,0.001401
raw:literals,0,0.001202
raw:literals,1,0.001374
raw:literals,2,0.001197
raw:literals,3,0.001190
raw:literals,4,0.001211
raw:literals,5,0.001188
raw:literals,6,0.001243
raw:macro-masks,0,0.001407
raw:macro-masks,1,0.001497
raw:macro-masks,2,0.001226
raw:macro-masks,3,0.001239
raw:macro-masks,4,0.001199
raw:macro-masks,5,0.001186
raw:macro-masks,6,0.001224
raw:macro-resid,0,0.001437
raw:macro-resid,1,0.001699
raw:macro-resid,2,0.001446
raw:macro-resid,3,0.001436
raw:macro-resid,4,0.001407
raw:macro-resid,5,0.001435
raw:macro-resid,6,0.001456
raw:opcodes+literals,0,0.001155
raw:opcodes+literals,1,0.001335
raw:opcodes+literals,2,0.001117
raw:opcodes+literals,3,0.001087
raw:opcodes+literals,4,0.001138
raw:opcodes+literals,5,0.001086
raw:opcodes+literals,6,0.001120
raw:ALL9,0,0.000830
raw:ALL9,1,0.000955
raw:ALL9,2,0.000772
raw:ALL9,3,0.000780
raw:ALL9,4,0.000773
raw:ALL9,5,0.000783
raw:ALL9,6,0.000787
