variant,rep,seconds
full,0,0.002634
full,1,0.002985
full,2,0.002986
full,3,0.002620
full,4,0.002625
full,5,0.002650
full,6,0.002912
no-lit-pull,0,0.002635
no-lit-pull,1,0.002952
no-lit-pull,2,0.002956
no-lit-pull,3,0.002602
no-lit-pull,4,0.002610
no-lit-pull,5,0.002622
no-lit-pull,6,0.002727
no-copy,0,0.002918
no-copy,1,0.002881
no-copy,2,0.002543
no-copy,3,0.002625
no-copy,4,0.002578
no-copy,5,0.002587
no-copy,6,0.002570
no-macro,0,0.002343
no-macro,1,0.002349
no-macro,2,0.002058
no-macro,3,0.002038
no-macro,4,0.002106
no-macro,5,0.002067
no-macro,6,0.002058
setup-only,0,0.002063
setup-only,1,0.002089
setup-only,2,0.001841
setup-only,3,0.001876
setup-only,4,0.001840
setup-only,5,0.001888
setup-only,6,0.001865
opcode-pull-only,0,0.002149
opcode-pull-only,1,0.002120
opcode-pull-only,2,0.001854
opcode-pull-only,3,0.001864
opcode-pull-only,4,0.001856
opcode-pull-only,5,0.001957
opcode-pull-only,6,0.002029
