variant,rep,seconds
full,0,0.001297
full,1,0.001289
full,2,0.001278
full,3,0.001506
full,4,0.001506
full,5,0.001354
full,6,0.001279
no-lit-pull,0,0.001062
no-lit-pull,1,0.001066
no-lit-pull,2,0.001065
no-lit-pull,3,0.001236
no-lit-pull,4,0.001234
no-lit-pull,5,0.001057
no-lit-pull,6,0.001072
no-copy,0,0.001310
no-copy,1,0.001299
no-copy,2,0.001310
no-copy,3,0.001514
no-copy,4,0.001485
no-copy,5,0.001299
no-copy,6,0.001300
no-macro,0,0.000990
no-macro,1,0.000974
no-macro,2,0.001128
no-macro,3,0.001125
no-macro,4,0.001140
no-macro,5,0.000963
no-macro,6,0.000959
setup-only,0,0.000405
setup-only,1,0.000393
setup-only,2,0.000436
setup-only,3,0.000442
setup-only,4,0.000440
setup-only,5,0.000397
setup-only,6,0.000399
opcode-pull-only,0,0.000429
opcode-pull-only,1,0.000430
opcode-pull-only,2,0.000496
opcode-pull-only,3,0.000482
opcode-pull-only,4,0.000426
opcode-pull-only,5,0.000434
opcode-pull-only,6,0.000432
