variant,rep,seconds
full,0,0.001195
full,1,0.001245
full,2,0.001256
full,3,0.001192
full,4,0.001199
full,5,0.001235
full,6,0.001192
no-lit-pull,0,0.000935
no-lit-pull,1,0.000937
no-lit-pull,2,0.000934
no-lit-pull,3,0.000931
no-lit-pull,4,0.000958
no-lit-pull,5,0.000941
no-lit-pull,6,0.000943
no-copy,0,0.001171
no-copy,1,0.001174
no-copy,2,0.001176
no-copy,3,0.001165
no-copy,4,0.001168
no-copy,5,0.001170
no-copy,6,0.001168
no-macro,0,0.000845
no-macro,1,0.000850
no-macro,2,0.000844
no-macro,3,0.000847
no-macro,4,0.000845
no-macro,5,0.000845
no-macro,6,0.000845
setup-only,0,0.000399
setup-only,1,0.000397
setup-only,2,0.000396
setup-only,3,0.000396
setup-only,4,0.000399
setup-only,5,0.000395
setup-only,6,0.000404
opcode-pull-only,0,0.000469
opcode-pull-only,1,0.000469
opcode-pull-only,2,0.000472
opcode-pull-only,3,0.000470
opcode-pull-only,4,0.000470
opcode-pull-only,5,0.000471
opcode-pull-only,6,0.000484
