variant,rep,seconds
baseline,0,0.002279
baseline,1,0.002299
baseline,2,0.002259
baseline,3,0.002265
baseline,4,0.002472
baseline,5,0.002253
baseline,6,0.002257
raw:opcodes,0,0.002258
raw:opcodes,1,0.002643
raw:opcodes,2,0.002609
raw:opcodes,3,0.002603
raw:opcodes,4,0.002850
raw:opcodes,5,0.002282
raw:opcodes,6,0.002280
raw:macro-types,0,0.002240
raw:macro-types,1,0.002258
raw:macro-types,2,0.002253
raw:macro-types,3,0.002253
raw:macro-types,4,0.002474
raw:macro-types,5,0.002244
raw:macro-types,6,0.002628
raw:macro-ll,0,0.002268
raw:macro-ll,1,0.002274
raw:macro-ll,2,0.002281
raw:macro-ll,3,0.002285
raw:macro-ll,4,0.002465
raw:macro-ll,5,0.002271
raw:macro-ll,6,0.002281
raw:macro-ml,0,0.002300
raw:macro-ml,1,0.002194
raw:macro-ml,2,0.002216
raw:macro-ml,3,0.002309
raw:macro-ml,4,0.002596
raw:macro-ml,5,0.002192
raw:macro-ml,6,0.002208
raw:macro-dflags,0,0.002241
raw:macro-dflags,1,0.002612
raw:macro-dflags,2,0.002568
raw:macro-dflags,3,0.002876
raw:macro-dflags,4,0.002841
raw:macro-dflags,5,0.002617
raw:macro-dflags,6,0.002231
raw:macro-dvar,0,0.002191
raw:macro-dvar,1,0.002220
raw:macro-dvar,2,0.002191
raw:macro-dvar,3,0.002385
raw:macro-dvar,4,0.002205
raw:macro-dvar,5,0.002206
raw:macro-dvar,6,0.002642
raw:literals,0,0.002235
raw:literals,1,0.002238
raw:literals,2,0.002264
raw:literals,3,0.002426
raw:literals,4,0.002244
raw:literals,5,0.002241
raw:literals,6,0.002261
raw:macro-masks,0,0.001602
raw:macro-masks,1,0.001599
raw:macro-masks,2,0.001597
raw:macro-masks,3,0.001775
raw:macro-masks,4,0.001720
raw:macro-masks,5,0.001640
raw:macro-masks,6,0.001597
raw:macro-resid,0,0.002042
raw:macro-resid,1,0.002028
raw:macro-resid,2,0.002061
raw:macro-resid,3,0.002277
raw:macro-resid,4,0.002036
raw:macro-resid,5,0.002180
raw:macro-resid,6,0.001703
raw:opcodes+literals,0,0.002230
raw:opcodes+literals,1,0.002235
raw:opcodes+literals,2,0.002252
raw:opcodes+literals,3,0.002431
raw:opcodes+literals,4,0.002246
raw:opcodes+literals,5,0.002255
raw:opcodes+literals,6,0.002779
raw:ALL9,0,0.000863
raw:ALL9,1,0.000836
raw:ALL9,2,0.000834
raw:ALL9,3,0.000956
raw:ALL9,4,0.000841
raw:ALL9,5,0.000832
raw:ALL9,6,0.000962
