variant,rep,seconds
baseline,0,0.003867
baseline,1,0.003901
baseline,2,0.003811
baseline,3,0.004358
baseline,4,0.003894
baseline,5,0.003852
baseline,6,0.003944
raw:opcodes,0,0.003875
raw:opcodes,1,0.003911
raw:opcodes,2,0.003882
raw:opcodes,3,0.003852
raw:opcodes,4,0.003821
raw:opcodes,5,0.003868
raw:opcodes,6,0.003810
raw:macro-types,0,0.003901
raw:macro-types,1,0.003813
raw:macro-types,2,0.004115
raw:macro-types,3,0.003881
raw:macro-types,4,0.003815
raw:macro-types,5,0.004169
raw:macro-types,6,0.003837
raw:macro-ll,0,0.003802
raw:macro-ll,1,0.004098
raw:macro-ll,2,0.003920
raw:macro-ll,3,0.003783
raw:macro-ll,4,0.003892
raw:macro-ll,5,0.003806
raw:macro-ll,6,0.003868
raw:macro-ml,0,0.003823
raw:macro-ml,1,0.004261
raw:macro-ml,2,0.003783
raw:macro-ml,3,0.003969
raw:macro-ml,4,0.003809
raw:macro-ml,5,0.003822
raw:macro-ml,6,0.003994
raw:macro-dflags,0,0.003851
raw:macro-dflags,1,0.003874
raw:macro-dflags,2,0.003854
raw:macro-dflags,3,0.003817
raw:macro-dflags,4,0.003855
raw:macro-dflags,5,0.003821
raw:macro-dflags,6,0.004194
raw:macro-dvar,0,0.004880
raw:macro-dvar,1,0.003929
raw:macro-dvar,2,0.003888
raw:macro-dvar,3,0.003823
raw:macro-dvar,4,0.003855
raw:macro-dvar,5,0.003780
raw:macro-dvar,6,0.003835
raw:literals,0,0.003873
raw:literals,1,0.003842
raw:literals,2,0.003853
raw:literals,3,0.003777
raw:literals,4,0.003799
raw:literals,5,0.003815
raw:literals,6,0.003816
raw:macro-masks,0,0.003834
raw:macro-masks,1,0.003816
raw:macro-masks,2,0.003855
raw:macro-masks,3,0.003798
raw:macro-masks,4,0.003821
raw:macro-masks,5,0.003818
raw:macro-masks,6,0.003870
raw:macro-resid,0,0.003849
raw:macro-resid,1,0.003819
raw:macro-resid,2,0.004510
raw:macro-resid,3,0.003872
raw:macro-resid,4,0.004158
raw:macro-resid,5,0.003872
raw:macro-resid,6,0.003843
raw:opcodes+literals,0,0.003956
raw:opcodes+literals,1,0.003803
raw:opcodes+literals,2,0.004537
raw:opcodes+literals,3,0.003996
raw:opcodes+literals,4,0.003811
raw:opcodes+literals,5,0.003842
raw:opcodes+literals,6,0.003976
raw:ALL9,0,0.004158
raw:ALL9,1,0.003775
raw:ALL9,2,0.004609
raw:ALL9,3,0.004157
raw:ALL9,4,0.003786
raw:ALL9,5,0.003810
raw:ALL9,6,0.004149
