variant,rep,seconds
baseline,0,0.001422
baseline,1,0.001360
baseline,2,0.001411
baseline,3,0.001388
baseline,4,0.001368
baseline,5,0.001742
baseline,6,0.001407
raw:opcodes,0,0.001347
raw:opcodes,1,0.001318
raw:opcodes,2,0.001441
raw:opcodes,3,0.001374
raw:opcodes,4,0.001297
raw:opcodes,5,0.001498
raw:opcodes,6,0.001357
raw:macro-types,0,0.001394
raw:macro-types,1,0.001340
raw:macro-types,2,0.001382
raw:macro-types,3,0.001381
raw:macro-types,4,0.001344
raw:macro-types,5,0.001397
raw:macro-types,6,0.001384
raw:macro-ll,0,0.001390
raw:macro-ll,1,0.001350
raw:macro-ll,2,0.001422
raw:macro-ll,3,0.001415
raw:macro-ll,4,0.001359
raw:macro-ll,5,0.001408
raw:macro-ll,6,0.001421
raw:macro-ml,0,0.001364
raw:macro-ml,1,0.001355
raw:macro-ml,2,0.001395
raw:macro-ml,3,0.001387
raw:macro-ml,4,0.001328
raw:macro-ml,5,0.001403
raw:macro-ml,6,0.001435
raw:macro-dflags,0,0.001369
raw:macro-dflags,1,0.001331
raw:macro-dflags,2,0.001395
raw:macro-dflags,3,0.001416
raw:macro-dflags,4,0.001421
raw:macro-dflags,5,0.001428
raw:macro-dflags,6,0.001413
raw:macro-dvar,0,0.001424
raw:macro-dvar,1,0.001432
raw:macro-dvar,2,0.001549
raw:macro-dvar,3,0.001400
raw:macro-dvar,4,0.001387
raw:macro-dvar,5,0.001346
raw:macro-dvar,6,0.001376
raw:literals,0,0.001213
raw:literals,1,0.001140
raw:literals,2,0.001188
raw:literals,3,0.001167
raw:literals,4,0.001159
raw:literals,5,0.001165
raw:literals,6,0.001178
raw:macro-masks,0,0.001202
raw:macro-masks,1,0.001154
raw:macro-masks,2,0.001196
raw:macro-masks,3,0.001190
raw:macro-masks,4,0.001173
raw:macro-masks,5,0.001182
raw:macro-masks,6,0.001261
raw:macro-resid,0,0.001402
raw:macro-resid,1,0.001369
raw:macro-resid,2,0.001415
raw:macro-resid,3,0.001380
raw:macro-resid,4,0.001391
raw:macro-resid,5,0.001388
raw:macro-resid,6,0.001462
raw:opcodes+literals,0,0.001117
raw:opcodes+literals,1,0.001077
raw:opcodes+literals,2,0.001100
raw:opcodes+literals,3,0.001067
raw:opcodes+literals,4,0.001322
raw:opcodes+literals,5,0.001087
raw:opcodes+literals,6,0.001130
raw:ALL9,0,0.000724
raw:ALL9,1,0.000764
raw:ALL9,2,0.000780
raw:ALL9,3,0.000740
raw:ALL9,4,0.000942
raw:ALL9,5,0.000762
raw:ALL9,6,0.000799
