variant,rep,seconds
baseline,0,0.001282
baseline,1,0.001432
baseline,2,0.001258
baseline,3,0.001244
baseline,4,0.001245
baseline,5,0.001435
baseline,6,0.001398
raw:opcodes,0,0.001347
raw:opcodes,1,0.001371
raw:opcodes,2,0.001417
raw:opcodes,3,0.001378
raw:opcodes,4,0.001167
raw:opcodes,5,0.001168
raw:opcodes,6,0.001549
raw:macro-types,0,0.001455
raw:macro-types,1,0.001428
raw:macro-types,2,0.001460
raw:macro-types,3,0.001419
raw:macro-types,4,0.001414
raw:macro-types,5,0.001419
raw:macro-types,6,0.001418
raw:macro-ll,0,0.001448
raw:macro-ll,1,0.001422
raw:macro-ll,2,0.001492
raw:macro-ll,3,0.001452
raw:macro-ll,4,0.001209
raw:macro-ll,5,0.001252
raw:macro-ll,6,0.001706
raw:macro-ml,0,0.001542
raw:macro-ml,1,0.001501
raw:macro-ml,2,0.001521
raw:macro-ml,3,0.001416
raw:macro-ml,4,0.001471
raw:macro-ml,5,0.001407
raw:macro-ml,6,0.001185
raw:macro-dflags,0,0.001432
raw:macro-dflags,1,0.001430
raw:macro-dflags,2,0.001488
raw:macro-dflags,3,0.001404
raw:macro-dflags,4,0.001212
raw:macro-dflags,5,0.001517
raw:macro-dflags,6,0.001417
raw:macro-dvar,0,0.001384
raw:macro-dvar,1,0.001426
raw:macro-dvar,2,0.001439
raw:macro-dvar,3,0.001391
raw:macro-dvar,4,0.001387
raw:macro-dvar,5,0.001695
raw:macro-dvar,6,0.001398
raw:literals,0,0.001215
raw:literals,1,0.001244
raw:literals,2,0.001225
raw:literals,3,0.001213
raw:literals,4,0.001237
raw:literals,5,0.001192
raw:literals,6,0.001036
raw:macro-masks,0,0.001190
raw:macro-masks,1,0.001161
raw:macro-masks,2,0.001218
raw:macro-masks,3,0.001207
raw:macro-masks,4,0.000979
raw:macro-masks,5,0.001443
raw:macro-masks,6,0.001182
raw:macro-resid,0,0.001228
raw:macro-resid,1,0.001237
raw:macro-resid,2,0.001487
raw:macro-resid,3,0.001423
raw:macro-resid,4,0.001258
raw:macro-resid,5,0.001491
raw:macro-resid,6,0.001229
raw:opcodes+literals,0,0.001133
raw:opcodes+literals,1,0.001166
raw:opcodes+literals,2,0.001197
raw:opcodes+literals,3,0.001128
raw:opcodes+literals,4,0.001134
raw:opcodes+literals,5,0.001284
raw:opcodes+literals,6,0.000924
raw:ALL9,0,0.000811
raw:ALL9,1,0.000572
raw:ALL9,2,0.000768
raw:ALL9,3,0.000741
raw:ALL9,4,0.000620
raw:ALL9,5,0.000660
raw:ALL9,6,0.000769
