offset,clen,ulen,kind,entry
156247,455,786,zip,locale/en-US/global/xpcom.properties
156797,1676,4885,zip,locale/en-US/global/charsetTitles.properties
158555,344,794,zip,locale/en-US/necko/contents.rdf
158985,864,1942,zip,locale/en-US/necko/necko.properties
159936,491,854,zip,locale/en-US/necko/redirect_loop.dtd
160523,986,2687,zip,locale/en-US/communicator/security.properties
161610,605,1066,zip,locale/en-US/communicator/security/caps.properties
162319,942,1878,zip,locale/en-US/communicator/layout/xmlparser.properties
163354,593,1201,zip,locale/en-US/global/printdialog.properties
164042,126,160,zip,locale/en-US/communicator/dom/dom.properties
164258,1830,5170,zip,locale/en-US/global/printing.properties
166170,1090,2618,zip,locale/en-US/forms/contents.rdf
167343,851,1930,zip,locale/en-US/forms/htmlforms.dtd
168297,505,883,zip,locale/en-US/communicator/layout/HtmlForm.properties
168910,717,1584,zip,locale/en-US/communicator/layout/ImageDocument.properties
169719,906,1947,zip,locale/en-US/global/appstrings.properties
170714,623,1502,zip,locale/en-US/global/nsHelperAppDlg.dtd
171433,48,49,zip,locale/en-US/global/nsHelperAppDlg.properties
171572,1803,5034,zip,locale/en-US/global/nsProgressDialog.dtd
173473,807,1751,zip,locale/en-US/global/nsProgressDialog.properties
174381,1084,2594,zip,locale/en-US/global/nsWebBrowserPersist.properties
175546,740,1566,zip,locale/en-US/editor/editor.dtd
176369,354,810,zip,locale/en-US/editor/contents.rdf
176816,147,255,zip,locale/en-US/editor/editorPrefsOverlay.dtd
177060,93,232,zip,locale/en-US/editor/editorNavigatorOverlay.dtd
177240,336,1003,zip,locale/en-US/editor/pref-editing.dtd
177664,803,2136,zip,locale/en-US/editor/pref-composer.dtd
178554,520,1352,zip,locale/en-US/editor/pref-publish.dtd
179167,559,1078,zip,locale/en-US/editor/sidebar-editor-rdf.dtd
179815,548,1032,zip,locale/en-US/editor/sidebar-editor.dtd
180451,6526,27693,zip,locale/en-US/editor/editorOverlay.dtd
187065,3129,8148,zip,locale/en-US/editor/editor.properties
190290,701,1441,zip,locale/en-US/editor/EditorHLineProperties.dtd
191087,1387,3851,zip,locale/en-US/editor/EditorImageProperties.dtd
192567,665,1391,zip,locale/en-US/editor/EditorInsertSource.dtd
193324,611,1306,zip,locale/en-US/editor/EditorInsertChars.dtd
194027,622,1266,zip,locale/en-US/editor/EditorInsertTable.dtd
194744,515,954,zip,locale/en-US/editor/EditorLinkProperties.dtd
195347,675,1268,zip,locale/en-US/editor/EdLinkChecker.dtd
196117,715,1500,zip,locale/en-US/editor/EditorListProperties.dtd
196927,693,1400,zip,locale/en-US/editor/EditorPageProperties.dtd
197716,755,1718,zip,locale/en-US/editor/EditorColorProperties.dtd
198559,663,1369,zip,locale/en-US/editor/EdColorPicker.dtd
199321,591,1181,zip,locale/en-US/editor/EditorPersonalDictionary.dtd
200000,740,1650,zip,locale/en-US/editor/EditorReplace.dtd
200831,721,1653,zip,locale/en-US/editor/EditorSpellCheck.dtd
201648,1306,4179,zip,locale/en-US/editor/EditorTableProperties.dtd
203049,905,2119,zip,locale/en-US/editor/EditorFormProperties.dtd
204050,1141,2939,zip,locale/en-US/editor/EditorInputProperties.dtd
205290,1067,2870,zip,locale/en-US/editor/EditorTextAreaProperties.dtd
206454,1047,2750,zip,locale/en-US/editor/EditorSelectProperties.dtd
207598,945,2249,zip,locale/en-US/editor/EditorButtonProperties.dtd
208639,892,2048,zip,locale/en-US/editor/EditorLabelProperties.dtd
209630,918,2166,zip,locale/en-US/editor/EditorFieldSetProperties.dtd
210646,570,1053,zip,locale/en-US/editor/EdNamedAnchorProperties.dtd
211306,732,1434,zip,locale/en-US/editor/EdDialogOverlay.dtd
212127,702,1629,zip,locale/en-US/editor/EdAdvancedEdit.dtd
212918,1027,2881,zip,locale/en-US/editor/EditorImageMap.dtd
214041,726,1531,zip,locale/en-US/editor/EditorImageMapHotSpot.dtd
214854,656,1273,zip,locale/en-US/editor/EditConflict.dtd
215604,686,1392,zip,locale/en-US/editor/EditorSaveAsCharset.dtd
216381,702,1461,zip,locale/en-US/editor/EdConvertToTable.dtd
217171,1021,2583,zip,locale/en-US/editor/EditorPublish.dtd
218288,678,1439,zip,locale/en-US/editor/EditorPublishProgress.dtd
219071,340,691,zip,locale/en-US/communicator/profile/confirmMigration.dtd
219519,231,455,zip,locale/en-US/communicator/profile/createProfileWizard.dtd
219865,105,142,zip,locale/en-US/communicator/profile/createProfileWizard.properties
220075,477,947,zip,locale/en-US/communicator/profile/migration.properties
220654,410,884,zip,locale/en-US/communicator/profile/newProfile1_1.dtd
221166,331,745,zip,locale/en-US/communicator/profile/newProfile1_2.dtd
221606,56,69,zip,locale/en-US/communicator/profile/newProfile1_2.properties
221772,903,3148,zip,locale/en-US/communicator/profile/profileManager.properties
222784,298,581,zip,locale/en-US/communicator/profile/profileManagerDelete.dtd
223195,87,136,zip,locale/en-US/communicator/profile/profileManagerMigrateAll.dtd
223387,1162,2920,zip,locale/en-US/communicator/profile/profileSelection.dtd
224648,136,283,zip,locale/en-US/communicator/profile/selectLang.dtd
224881,209,402,zip,locale/en-US/communicator/profile/no_space.dtd
225203,220,344,zip,locale/en-US/communicator/profile/profileMigrationProgress.dtd
225507,344,799,zip,locale/en-US/mozldap/contents.rdf
225944,2310,5793,zip,locale/en-US/mozldap/ldapErrors.properties
228356,817,2035,zip,locale/en-US/communicator/bookmarks/addBookmark.dtd
229272,1363,4506,zip,locale/en-US/communicator/bookmarks/bm-props.dtd
230735,1186,4088,zip,locale/en-US/communicator/bookmarks/bookmarks.dtd
232027,1138,2766,zip,locale/en-US/communicator/bookmarks/bookmark.properties
233272,255,1046,zip,locale/en-US/communicator/bookmarks/bookmarksOverlay.dtd
233630,220,712,zip,locale/en-US/communicator/bookmarks/findBookmark.dtd
233955,391,970,zip,locale/en-US/communicator/bookmarks/pref-bookmarks.dtd
234458,387,1266,zip,locale/en-US/communicator/downloadmanager/downloadmanager.ent
234964,161,314,zip,locale/en-US/communicator/downloadmanager/downloadmanager.properties
235225,94,162,zip,locale/en-US/communicator/directory/directory.dtd
235415,415,1485,zip,locale/en-US/communicator/history/history.dtd
235937,206,808,zip,locale/en-US/communicator/history/historyTreeOverlay.dtd
236246,226,444,zip,locale/en-US/communicator/history/history.properties
236572,180,549,zip,locale/en-US/communicator/history/findHistory.dtd
236851,437,1043,zip,locale/en-US/communicator/pref/pref-advanced.dtd
237389,597,1932,zip,locale/en-US/communicator/pref/pref-appearance.dtd
238089,594,1596,zip,locale/en-US/communicator/pref/pref-applications.dtd
238793,297,532,zip,locale/en-US/communicator/pref/pref-applications.properties
239198,363,1477,zip,locale/en-US/communicator/pref/pref-applications-edit.dtd
239657,657,1917,zip,locale/en-US/communicator/pref/pref-cache.dtd
240412,787,1992,zip,locale/en-US/communicator/pref/pref-charset.dtd
241296,580,1884,zip,locale/en-US/communicator/pref/pref-colors.dtd
241973,318,720,zip,locale/en-US/communicator/pref/pref-themes.dtd
242387,611,1358,zip,locale/en-US/communicator/pref/pref-debug.dtd
243095,344,961,zip,locale/en-US/communicator/pref/pref-debug1.dtd
243536,322,790,zip,locale/en-US/communicator/pref/pref-debug2.dtd
243954,1150,4520,zip,locale/en-US/communicator/pref/pref-fonts.dtd
245202,351,1060,zip,locale/en-US/communicator/pref/pref-history.dtd
245648,248,813,zip,locale/en-US/communicator/pref/pref-http.dtd
245996,675,2571,zip,locale/en-US/communicator/pref/pref-languages.dtd
246778,45,48,zip,locale/en-US/communicator/pref/pref-languages.properties
246923,361,1140,zip,locale/en-US/communicator/pref/pref-navigator.dtd
247382,506,1293,zip,locale/en-US/communicator/pref/pref-offline.dtd
247987,337,799,zip,locale/en-US/communicator/pref/pref-policies.dtd
248422,581,2058,zip,locale/en-US/communicator/pref/pref-proxies.dtd
249106,327,633,zip,locale/en-US/communicator/pref/pref-proxy-manual.dtd
249531,453,1055,zip,locale/en-US/communicator/pref/pref-scripts.dtd
250081,367,990,zip,locale/en-US/communicator/pref/pref-search.dtd
250547,682,1315,zip,locale/en-US/communicator/pref/pref-security.dtd
251334,782,2717,zip,locale/en-US/communicator/pref/pref-smart_browsing.dtd
252218,512,1548,zip,locale/en-US/communicator/pref/pref-smartupdate.dtd
252825,238,485,zip,locale/en-US/communicator/pref/pref-tabs.dtd
253169,462,918,zip,locale/en-US/communicator/pref/prefutilities.properties
253725,563,1458,zip,locale/en-US/communicator/pref/preftree.dtd
254378,412,716,zip,locale/en-US/communicator/pref/pref.dtd
254891,450,1231,zip,locale/en-US/communicator/pref/pref-mousewheel.dtd
255440,624,1919,zip,locale/en-US/communicator/pref/pref-winhooks.dtd
256164,63,90,zip,locale/en-US/communicator/regviewer/regviewer.dtd
256319,684,1696,zip,locale/en-US/communicator/search/find.dtd
257102,530,1073,zip,locale/en-US/communicator/search/findresults.dtd
257728,602,1397,zip,locale/en-US/communicator/search/internet.dtd
258433,636,1506,zip,locale/en-US/communicator/search/internetresults.dtd
259163,611,1429,zip,locale/en-US/communicator/search/search.dtd
259875,661,1663,zip,locale/en-US/communicator/search/search-editor.dtd
260644,143,352,zip,locale/en-US/communicator/search/search-editor.properties
260887,701,1696,zip,locale/en-US/communicator/search/search-panel.dtd
261695,318,685,zip,locale/en-US/communicator/search/search-panel.properties
262108,97,128,zip,locale/en-US/communicator/search/default.htm
262303,708,1867,zip,locale/en-US/communicator/sidebar/customize.dtd
263107,506,973,zip,locale/en-US/communicator/sidebar/preview.dtd
263714,666,1386,zip,locale/en-US/communicator/sidebar/local-panels.dtd
264483,878,2276,zip,locale/en-US/communicator/sidebar/sidebarOverlay.dtd
265464,274,531,zip,locale/en-US/communicator/sidebar/sidebar.properties
265846,139,173,zip,locale/en-US/communicator/update-notifications.properties
266083,191,370,zip,locale/en-US/communicator/timebomb/timebomb.dtd
266365,1211,3536,zip,locale/en-US/global/downloadProgress.dtd
267674,778,1956,zip,locale/en-US/global/downloadProgress.properties
268537,267,585,zip,locale/en-US/global/filepicker.dtd
268896,467,1084,zip,locale/en-US/global/filepicker.properties
269445,733,1654,zip,locale/en-US/global/console.dtd
270267,98,158,zip,locale/en-US/global/console.properties
270450,260,671,zip,locale/en-US/global/finddialog.dtd
270802,65,70,zip,locale/en-US/global/finddialog.properties
270955,258,640,zip,locale/en-US/global/replacedialog.dtd
271311,2023,6509,zip,locale/en-US/global/ldapAutoCompErrs.properties
273420,356,816,zip,locale/en-US/navigator/contents.rdf
273864,257,634,zip,locale/en-US/navigator/viewSource.dtd
274207,1385,4443,zip,locale/en-US/navigator/pageInfo.dtd
275685,903,1817,zip,locale/en-US/navigator/pageInfo.properties
276675,2257,8921,zip,locale/en-US/navigator/navigator.dtd
279025,162,410,zip,locale/en-US/navigator/navigator-title.dtd
279281,1640,3593,zip,locale/en-US/navigator/navigator.properties
281007,341,1137,zip,locale/en-US/navigator/metadata.dtd
281441,113,171,zip,locale/en-US/navigator/metadata.properties
281643,1182,3032,zip,locale/en-US/navigator/linkToolbar.dtd
282914,223,435,zip,locale/en-US/navigator/turboDialog.dtd
283231,219,371,zip,locale/en-US/navigator/turboMenu.properties
283539,358,822,zip,locale/en-US/communicator/contents.rdf
283992,1132,4096,zip,locale/en-US/communicator/utilityOverlay.dtd
285226,89,168,zip,locale/en-US/communicator/utilityOverlay.properties
285408,269,557,zip,locale/en-US/communicator/openLocation.dtd
285777,85,105,zip,locale/en-US/communicator/openLocation.properties
285950,569,1581,zip,locale/en-US/communicator/taskbar.rdf
286612,467,1550,zip,locale/en-US/communicator/tasksOverlay.dtd
287174,121,170,zip,locale/en-US/communicator/taskbarOverlay.dtd
287395,743,3811,zip,locale/en-US/communicator/contentAreaCommands.dtd
288245,370,671,zip,locale/en-US/communicator/contentAreaCommands.properties
288707,816,1709,zip,locale/en-US/communicator/askViewZoom.dtd
289619,215,567,zip,locale/en-US/communicator/viewZoomOverlay.dtd
289937,348,618,zip,locale/en-US/communicator/viewZoomOverlay.properties
290378,1065,2806,zip,locale/en-US/communicator/printPreview.dtd
291538,571,1678,zip,locale/en-US/communicator/printPageSetup.dtd
292211,560,1035,zip,locale/en-US/communicator/printPageSetup.properties
292854,417,1026,zip,locale/en-US/global/contents.rdf
293350,125,159,zip,locale/en-US/global/intl.css
293676,190,334,zip,locale/en-US/global/commonDialog.dtd
293955,245,890,zip,locale/en-US/global/charsetOverlay.dtd
294298,103,146,zip,locale/en-US/global/charsetDetectorsOverlay.dtd
294487,134,399,zip,locale/en-US/global/textcontext.dtd
294708,45,67,zip,locale/en-US/global/brand.properties
294833,95,174,zip,locale/en-US/global/brand.dtd
295013,162,507,zip,locale/en-US/global/tabbrowser.dtd
295267,244,447,zip,locale/en-US/global/tabbrowser.properties
295606,47,63,zip,locale/en-US/global/wizardManager.properties
295741,82,190,zip,locale/en-US/global/wizardOverlay.dtd
295909,942,2088,zip,locale/en-US/global/keys.properties
296932,568,1078,zip,locale/en-US/global/config.dtd
297580,101,222,zip,locale/en-US/global/about.dtd
297776,514,882,zip,locale/en-US/global/accept2locale.properties
298385,999,1894,zip,locale/en-US/global/languageNames.properties
299477,554,917,zip,locale/en-US/global/regionNames.properties
300112,1596,3314,zip,locale/en-US/global/about.html
301803,156,253,zip,locale/en-US/global/commonDialogs.properties
302048,198,401,zip,locale/en-US/global/plugins.properties
302463,64,83,zip,locale/en-US/global/dialog.properties
302613,333,1008,zip,locale/en-US/global/printdialog.dtd
303034,368,688,zip,locale/en-US/global/printProgress.dtd
303509,1346,3360,zip,locale/en-US/communicator/xpinstall/xpinstall.properties
304955,97,117,zip,locale/en-US/communicator/xpinstall/xpistatus.dtd
305152,206,325,zip,locale/en-US/communicator/xpinstall/institems.dtd
305441,398,948,zip,locale/en-US/cookie/contents.rdf
305932,96,108,zip,locale/en-US/cookie/cookieTasksOverlay.dtd
306125,334,1369,zip,locale/en-US/cookie/cookieNavigatorOverlay.dtd
306554,97,230,zip,locale/en-US/cookie/cookieContextOverlay.dtd
306744,45,66,zip,locale/en-US/cookie/cookiePrefsOverlay.dtd
306876,481,1538,zip,locale/en-US/cookie/pref-cookies.dtd
307443,544,1493,zip,locale/en-US/cookie/pref-images.dtd
308065,1490,4124,zip,locale/en-US/cookie/p3p.dtd
309638,397,948,zip,locale/en-US/wallet/contents.rdf
