kind,container,entry,offset,clen,ulen,method,verified,crc_ok,note
zip,zip@156160,locale/en-US/global/xpcom.properties,156247,455,786,deflate,1,1,
zip,zip@156160,locale/en-US/global/charsetTitles.properties,156797,1676,4885,deflate,1,1,
zip,zip@156160,locale/en-US/necko/contents.rdf,158555,344,794,deflate,1,1,
zip,zip@156160,locale/en-US/necko/necko.properties,158985,864,1942,deflate,1,1,
zip,zip@156160,locale/en-US/necko/redirect_loop.dtd,159936,491,854,deflate,1,1,
zip,zip@156160,locale/en-US/communicator/security.properties,160523,986,2687,deflate,1,1,
zip,zip@156160,locale/en-US/communicator/security/caps.properties,161610,605,1066,deflate,1,1,
zip,zip@156160,locale/en-US/communicator/layout/xmlparser.properties,162319,942,1878,deflate,1,1,
zip,zip@156160,locale/en-US/global/printdialog.properties,163354,593,1201,deflate,1,1,
zip,zip@156160,locale/en-US/communicator/dom/dom.properties,164042,126,160,deflate,1,1,
zip,zip@156160,locale/en-US/global/printing.properties,164258,1830,5170,deflate,1,1,
zip,zip@156160,locale/en-US/forms/contents.rdf,166170,1090,2618,deflate,1,1,
zip,zip@156160,locale/en-US/forms/htmlforms.dtd,167343,851,1930,deflate,1,1,
zip,zip@156160,locale/en-US/communicator/layout/HtmlForm.properties,168297,505,883,deflate,1,1,
zip,zip@156160,locale/en-US/communicator/layout/ImageDocument.properties,168910,717,1584,deflate,1,1,
zip,zip@156160,locale/en-US/global/appstrings.properties,169719,906,1947,deflate,1,1,
zip,zip@156160,locale/en-US/global/nsHelperAppDlg.dtd,170714,623,1502,deflate,1,1,
zip,zip@156160,locale/en-US/global/nsHelperAppDlg.properties,171433,48,49,deflate,1,1,
zip,zip@156160,locale/en-US/global/nsProgressDialog.dtd,171572,1803,5034,deflate,1,1,
zip,zip@156160,locale/en-US/global/nsProgressDialog.properties,173473,807,1751,deflate,1,1,
zip,zip@156160,locale/en-US/global/nsWebBrowserPersist.properties,174381,1084,2594,deflate,1,1,
zip,zip@156160,locale/en-US/editor/editor.dtd,175546,740,1566,deflate,1,1,
zip,zip@156160,locale/en-US/editor/contents.rdf,176369,354,810,deflate,1,1,
zip,zip@156160,locale/en-US/editor/editorPrefsOverlay.dtd,176816,147,255,deflate,1,1,
zip,zip@156160,locale/en-US/editor/editorNavigatorOverlay.dtd,177060,93,232,deflate,1,1,
zip,zip@156160,locale/en-US/editor/pref-editing.dtd,177240,336,1003,deflate,1,1,
zip,zip@156160,locale/en-US/editor/pref-composer.dtd,177664,803,2136,deflate,1,1,
