kind,container,entry,offset,clen,ulen,method,verified,crc_ok,note
raw-zlib,zlib@116257,,116257,501,910,deflate,1,1,head=7801
raw-zlib,zlib@117024,,117024,1091,2488,deflate,1,1,head=7801
raw-zlib,zlib@118359,,118359,1435,3207,deflate,1,1,head=7801
raw-zlib,zlib@120047,,120047,1365,3284,deflate,1,1,head=7801
raw-zlib,zlib@121683,,121683,1189,2791,deflate,1,1,head=7801
raw-zlib,zlib@123107,,123107,1513,3218,deflate,1,1,head=7801
raw-zlib,zlib@124846,,124846,1764,3804,deflate,1,1,head=7801
raw-zlib,zlib@126836,,126836,452,841,deflate,1,1,head=7801
raw-zlib,zlib@127541,,127541,1213,2807,deflate,1,1,head=7801
raw-zlib,zlib@129008,,129008,1684,3863,deflate,1,1,head=7801
raw-zlib,zlib@130945,,130945,1574,3720,deflate,1,1,head=7801
raw-zlib,zlib@132754,,132754,1999,4586,deflate,1,1,head=7801
raw-zlib,zlib@134988,,134988,1741,4188,deflate,1,1,head=7801
raw-zlib,zlib@136964,,136964,1654,4045,deflate,1,1,head=7801
raw-zlib,zlib@138862,,138862,1693,3894,deflate,1,1,head=7801
raw-zlib,zlib@140823,,140823,2036,4709,deflate,1,1,head=7801
raw-zlib,zlib@143112,,143112,1525,3545,deflate,1,1,head=7801
raw-zlib,zlib@144905,,144905,1424,3175,deflate,1,1,head=7801
raw-zlib,zlib@146574,,146574,736,1484,deflate,1,1,head=7801
raw-zlib,zlib@147553,,147553,1567,4113,deflate,1,1,head=7801
raw-zlib,zlib@149378,,149378,1701,4692,deflate,1,1,head=7801
raw-zlib,zlib@151337,,151337,822,1716,deflate,1,1,head=7801
raw-zlib,zlib@152425,,152425,1534,3542,deflate,1,1,head=7801
raw-zlib,zlib@154195,,154195,687,1304,deflate,1,1,head=7801
raw-zlib,zlib@155157,,155157,1797,4319,deflate,1,1,head=7801
raw-zlib,zlib@157216,,157216,1783,4296,deflate,1,1,head=7801
raw-zlib,zlib@159252,,159252,1613,3906,deflate,1,1,head=7801
raw-zlib,zlib@161131,,161131,1658,4794,deflate,1,1,head=7801
raw-zlib,zlib@163033,,163033,853,1991,deflate,1,1,head=7801
raw-zlib,zlib@164162,,164162,1754,4025,deflate,1,1,head=7801
raw-zlib,zlib@166183,,166183,2102,4939,deflate,1,1,head=7801
raw-zlib,zlib@168571,,168571,1803,4145,deflate,1,1,head=7801
raw-zlib,zlib@170651,,170651,1839,4489,deflate,1,1,head=7801
raw-zlib,zlib@172759,,172759,1730,4023,deflate,1,1,head=7801
raw-zlib,zlib@174752,,174752,1527,3421,deflate,1,1,head=7801
raw-zlib,zlib@176557,,176557,1405,3286,deflate,1,1,head=7801
raw-zlib,zlib@178248,,178248,1500,3481,deflate,1,1,head=7801
raw-zlib,zlib@180016,,180016,1709,3960,deflate,1,1,head=7801
raw-zlib,zlib@181974,,181974,1490,3459,deflate,1,1,head=7801
raw-zlib,zlib@183742,,183742,1781,4269,deflate,1,1,head=7801
raw-zlib,zlib@185782,,185782,1576,4524,deflate,1,1,head=7801
raw-zlib,zlib@187636,,187636,1878,4538,deflate,1,1,head=7801
raw-zlib,zlib@189791,,189791,1656,3849,deflate,1,1,head=7801
raw-zlib,zlib@191710,,191710,1534,3637,deflate,1,1,head=7801
raw-zlib,zlib@193506,,193506,1802,4040,deflate,1,1,head=7801
raw-zlib,zlib@195586,,195586,1793,4250,deflate,1,1,head=7801
raw-zlib,zlib@197648,,197648,2019,4425,deflate,1,1,head=7801
raw-zlib,zlib@199935,,199935,1869,4951,deflate,1,1,head=7801
raw-zlib,zlib@202073,,202073,2245,4891,deflate,1,1,head=7801
raw-zlib,zlib@204563,,204563,1909,4380,deflate,1,1,head=7801
raw-zlib,zlib@206725,,206725,1796,3993,deflate,1,1,head=7801
raw-zlib,zlib@208765,,208765,1681,3685,deflate,1,1,head=7801
raw-zlib,zlib@210671,,210671,1803,4093,deflate,1,1,head=7801
raw-zlib,zlib@212709,,212709,2000,4337,deflate,1,1,head=7801
raw-zlib,zlib@214953,,214953,1723,3680,deflate,1,1,head=7801
raw-zlib,zlib@216901,,216901,1722,3892,deflate,1,1,head=7801
raw-zlib,zlib@218839,,218839,383,628,deflate,1,1,head=7801
