offset,clen,ulen,kind,entry,mode,param,first_diff,corr_proxy_xz
156247,455,786,zip,locale/en-US/global/xpcom.properties,valid,-15/6/8/0,,
156797,1676,4885,zip,locale/en-US/global/charsetTitles.properties,valid,-15/6/8/0,,
158555,344,794,zip,locale/en-US/necko/contents.rdf,valid,-15/6/8/0,,
158985,864,1942,zip,locale/en-US/necko/necko.properties,valid,-15/6/8/0,,
159936,491,854,zip,locale/en-US/necko/redirect_loop.dtd,valid,-15/6/8/0,,
160523,986,2687,zip,locale/en-US/communicator/security.properties,valid,-15/6/8/0,,
161610,605,1066,zip,locale/en-US/communicator/security/caps.properties,valid,-15/6/8/0,,
162319,942,1878,zip,locale/en-US/communicator/layout/xmlparser.properties,valid,-15/6/8/0,,
163354,593,1201,zip,locale/en-US/global/printdialog.properties,valid,-15/6/8/0,,
164042,126,160,zip,locale/en-US/communicator/dom/dom.properties,valid,-15/6/8/0,,
164258,1830,5170,zip,locale/en-US/global/printing.properties,valid,-15/6/8/0,,
166170,1090,2618,zip,locale/en-US/forms/contents.rdf,valid,-15/6/8/0,,
167343,851,1930,zip,locale/en-US/forms/htmlforms.dtd,valid,-15/6/8/0,,
168297,505,883,zip,locale/en-US/communicator/layout/HtmlForm.properties,valid,-15/6/8/0,,
168910,717,1584,zip,locale/en-US/communicator/layout/ImageDocument.properties,valid,-15/6/8/0,,
169719,906,1947,zip,locale/en-US/global/appstrings.properties,valid,-15/6/8/0,,
170714,623,1502,zip,locale/en-US/global/nsHelperAppDlg.dtd,valid,-15/6/8/0,,
171433,48,49,zip,locale/en-US/global/nsHelperAppDlg.properties,valid,-15/6/8/0,,
171572,1803,5034,zip,locale/en-US/global/nsProgressDialog.dtd,valid,-15/6/8/0,,
173473,807,1751,zip,locale/en-US/global/nsProgressDialog.properties,valid,-15/6/8/0,,
174381,1084,2594,zip,locale/en-US/global/nsWebBrowserPersist.properties,valid,-15/6/8/0,,
175546,740,1566,zip,locale/en-US/editor/editor.dtd,valid,-15/6/8/0,,
176369,354,810,zip,locale/en-US/editor/contents.rdf,valid,-15/6/8/0,,
176816,147,255,zip,locale/en-US/editor/editorPrefsOverlay.dtd,valid,-15/6/8/0,,
177060,93,232,zip,locale/en-US/editor/editorNavigatorOverlay.dtd,valid,-15/6/8/0,,
177240,336,1003,zip,locale/en-US/editor/pref-editing.dtd,valid,-15/6/8/0,,
177664,803,2136,zip,locale/en-US/editor/pref-composer.dtd,valid,-15/6/8/0,,
178554,520,1352,zip,locale/en-US/editor/pref-publish.dtd,valid,-15/6/8/0,,
179167,559,1078,zip,locale/en-US/editor/sidebar-editor-rdf.dtd,valid,-15/6/8/0,,
179815,548,1032,zip,locale/en-US/editor/sidebar-editor.dtd,valid,-15/6/8/0,,
180451,6526,27693,zip,locale/en-US/editor/editorOverlay.dtd,valid,-15/6/8/0,,
187065,3129,8148,zip,locale/en-US/editor/editor.properties,valid,-15/6/8/0,,
190290,701,1441,zip,locale/en-US/editor/EditorHLineProperties.dtd,valid,-15/6/8/0,,
191087,1387,3851,zip,locale/en-US/editor/EditorImageProperties.dtd,valid,-15/6/8/0,,
192567,665,1391,zip,locale/en-US/editor/EditorInsertSource.dtd,valid,-15/6/8/0,,
193324,611,1306,zip,locale/en-US/editor/EditorInsertChars.dtd,valid,-15/6/8/0,,
194027,622,1266,zip,locale/en-US/editor/EditorInsertTable.dtd,valid,-15/6/8/0,,
194744,515,954,zip,locale/en-US/editor/EditorLinkProperties.dtd,valid,-15/6/8/0,,
195347,675,1268,zip,locale/en-US/editor/EdLinkChecker.dtd,valid,-15/6/8/0,,
196117,715,1500,zip,locale/en-US/editor/EditorListProperties.dtd,valid,-15/6/8/0,,
196927,693,1400,zip,locale/en-US/editor/EditorPageProperties.dtd,valid,-15/6/8/0,,
197716,755,1718,zip,locale/en-US/editor/EditorColorProperties.dtd,valid,-15/6/8/0,,
198559,663,1369,zip,locale/en-US/editor/EdColorPicker.dtd,valid,-15/6/8/0,,
199321,591,1181,zip,locale/en-US/editor/EditorPersonalDictionary.dtd,valid,-15/6/8/0,,
200000,740,1650,zip,locale/en-US/editor/EditorReplace.dtd,valid,-15/6/8/0,,
200831,721,1653,zip,locale/en-US/editor/EditorSpellCheck.dtd,valid,-15/6/8/0,,
201648,1306,4179,zip,locale/en-US/editor/EditorTableProperties.dtd,valid,-15/6/8/0,,
203049,905,2119,zip,locale/en-US/editor/EditorFormProperties.dtd,valid,-15/6/8/0,,
204050,1141,2939,zip,locale/en-US/editor/EditorInputProperties.dtd,valid,-15/6/8/0,,
205290,1067,2870,zip,locale/en-US/editor/EditorTextAreaProperties.dtd,valid,-15/6/8/0,,
206454,1047,2750,zip,locale/en-US/editor/EditorSelectProperties.dtd,valid,-15/6/8/0,,
207598,945,2249,zip,locale/en-US/editor/EditorButtonProperties.dtd,valid,-15/6/8/0,,
208639,892,2048,zip,locale/en-US/editor/EditorLabelProperties.dtd,valid,-15/6/8/0,,
209630,918,2166,zip,locale/en-US/editor/EditorFieldSetProperties.dtd,valid,-15/6/8/0,,
210646,570,1053,zip,locale/en-US/editor/EdNamedAnchorProperties.dtd,valid,-15/6/8/0,,
211306,732,1434,zip,locale/en-US/editor/EdDialogOverlay.dtd,valid,-15/6/8/0,,
212127,702,1629,zip,locale/en-US/editor/EdAdvancedEdit.dtd,valid,-15/6/8/0,,
