utc,cpu_total_pct
2026-09-12T06:21:15.083Z,43
2026-09-12T06:21:15.471Z,57
2026-09-12T06:21:15.871Z,66
2026-09-12T06:21:16.279Z,68
2026-09-12T06:21:16.668Z,58
2026-09-12T06:21:17.079Z,56
2026-09-12T06:21:17.463Z,47
2026-09-12T06:21:17.846Z,43
2026-09-12T06:21:18.242Z,64
2026-09-12T06:21:18.628Z,44
2026-09-12T06:21:19.031Z,40
2026-09-12T06:21:19.416Z,44
2026-09-12T06:21:19.787Z,55
2026-09-12T06:21:20.169Z,48
2026-09-12T06:21:20.570Z,48
2026-09-12T06:21:21.107Z,72
2026-09-12T06:21:21.492Z,42
2026-09-12T06:21:21.880Z,42
2026-09-12T06:21:22.263Z,35
2026-09-12T06:21:22.644Z,42
2026-09-12T06:21:23.028Z,31
2026-09-12T06:21:23.416Z,26
2026-09-12T06:21:23.787Z,32
2026-09-12T06:21:24.173Z,30
2026-09-12T06:21:24.562Z,28
2026-09-12T06:21:24.949Z,32
2026-09-12T06:21:25.320Z,35
2026-09-12T06:21:25.706Z,36
2026-09-12T06:21:26.094Z,32
2026-09-12T06:21:26.487Z,52
2026-09-12T06:21:26.870Z,40
2026-09-12T06:21:27.256Z,33
2026-09-12T06:21:27.644Z,48
2026-09-12T06:21:28.026Z,30
2026-09-12T06:21:28.411Z,29
2026-09-12T06:21:28.796Z,31
2026-09-12T06:21:29.182Z,29
2026-09-12T06:21:29.554Z,27
2026-09-12T06:21:29.939Z,59
2026-09-12T06:21:30.322Z,33
2026-09-12T06:21:30.695Z,30
2026-09-12T06:21:31.080Z,34
2026-09-12T06:21:31.469Z,31
2026-09-12T06:21:31.859Z,35
2026-09-12T06:21:32.242Z,34
2026-09-12T06:21:32.629Z,35
2026-09-12T06:21:33.018Z,37
